iid,gender,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping
57,0,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9
58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5
61,0,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8
62,0,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9
63,0,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6
64,0,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8
65,0,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9
66,1,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4
67,1,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2
68,1,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7
69,1,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2
70,1,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5
71,1,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2
72,1,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8
73,1,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4
74,1,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3
75,1,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5
76,0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7
77,0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7
78,0,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5
79,0,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3
80,0,8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9
81,0,6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7
82,0,5,5,5,8,9,10,9,1,7,8,6,8,8,8,9,6
83,0,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4
84,0,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5
85,0,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5
86,0,2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2
87,0,10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7
88,0,8,7,10,7,7,7,8,6,6,10,8,9,10,8,10,9
89,0,2,2,2,10,8,8,7,8,9,8,1,9,8,8,9,4
90,0,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4
91,0,4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6
92,0,7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6
93,0,3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7
94,1,7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4
95,1,10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3
96,1,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7
97,1,6,8,8,3,3,3,6,1,5,8,3,2,7,3,7,3
98,1,8,8,8,7,3,3,5,1,7,7,3,7,8,6,8,2
99,1,5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8
100,1,5,4,6,7,6,6,2,2,4,6,5,7,7,3,7,6
101,1,9,9,7,9,9,9,8,8,9,8,7,9,8,7,8,8
102,1,9,9,9,9,4,4,7,2,5,5,4,4,9,3,5,5
103,1,8,7,8,8,6,4,8,5,8,8,8,5,8,8,8,6
104,1,8,3,8,9,8,8,9,5,8,7,3,8,7,6,8,3
105,1,9,9,6,8,5,5,3,4,7,8,6,6,7,4,7,5
106,1,2,4,2,9,6,5,4,9,2,9,8,7,9,2,8,5
107,1,7,2,4,7,6,7,8,1,7,7,1,5,7,9,9,1
108,1,7,3,4,5,6,7,3,2,5,7,3,7,7,4,6,2
109,1,2,1,2,10,10,10,1,2,2,10,5,7,10,10,10,5
110,1,4,3,8,7,7,9,8,2,3,7,5,7,9,7,8,3
111,1,9,9,7,9,10,9,9,1,5,9,5,8,9,8,5,3
112,0,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4
113,0,5,3,7,10,9,8,7,2,6,8,7,10,10,9,10,10
114,0,6,8,3,4,4,3,5,2,6,8,7,6,7,6,9,2
115,0,2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8
116,0,5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10
117,0,6,8,6,9,8,6,3,5,8,8,5,6,5,6,5,9
119,0,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7
120,0,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3
121,0,2,2,6,10,6,10,6,4,7,7,8,10,10,10,10,10
122,1,7,9,7,9,7,6,5,6,6,6,8,7,8,8,8,5
123,1,9,9,8,8,3,2,5,5,6,2,7,2,7,7,7,7
124,1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8
125,1,3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10
126,1,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6
127,1,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5
128,1,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2
129,1,7,4,7,9,4,5,9,2,6,9,4,4,7,6,6,4
130,1,7,4,9,8,3,2,7,5,7,6,2,1,2,2,9,6
131,1,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5
234,0,5,3,10,10,9,5,2,1,4,9,5,6,5,5,9,7
235,0,1,3,3,10,9,10,2,1,7,7,1,9,9,6,10,10
236,0,9,6,3,7,9,9,7,1,8,7,5,4,7,4,10,4
237,0,1,1,10,7,8,9,9,1,1,10,6,8,6,2,9,2
238,0,8,5,8,8,10,10,8,2,8,7,5,9,9,10,10,7
239,0,3,3,5,8,8,7,8,1,6,9,6,8,8,6,7,1
240,0,10,10,9,10,10,8,9,14,9,10,10,10,10,10,10,10
241,0,8,1,5,7,7,7,4,1,3,4,1,3,4,6,7,6
242,0,6,5,5,8,10,10,9,4,9,10,1,9,10,10,10,1
243,1,7,2,7,9,5,8,5,7,3,9,5,5,9,8,8,6
244,1,5,2,10,8,6,4,9,1,3,13,9,8,9,3,4,3
245,1,3,1,2,6,7,8,4,8,6,9,2,7,8,6,6,1
246,1,6,5,5,7,5,5,3,2,6,8,8,9,9,8,9,5
247,1,5,4,7,1,3,2,9,4,2,5,3,3,3,3,3,2
248,1,7,1,8,7,5,1,8,6,8,6,3,7,7,4,7,6
249,1,7,9,1,10,8,6,1,1,6,10,7,3,8,8,5,4
250,1,7,2,8,10,10,10,6,1,2,10,1,9,9,10,10,6
251,1,7,6,1,6,8,8,5,8,4,9,7,6,9,6,8,2
252,0,4,3,3,8,7,6,7,4,9,9,2,9,9,9,9,9
253,0,5,3,5,8,10,10,6,1,6,10,7,7,10,7,7,7
254,0,8,2,6,10,9,9,8,1,7,9,8,9,9,7,7,7
255,0,6,8,9,6,6,6,4,2,5,6,4,7,7,8,8,9
256,0,5,3,6,7,6,5,6,5,5,5,8,6,8,8,8,9
257,0,7,1,6,9,10,10,10,3,4,10,2,5,10,10,10,4
258,0,9,6,7,7,8,3,10,4,1,10,3,8,5,2,6,6
259,0,8,3,7,8,7,7,4,2,7,8,6,7,7,5,7,5
260,0,9,6,7,9,5,5,6,2,3,9,6,7,7,9,9,5
261,0,6,4,3,9,9,8,3,5,8,9,2,9,9,9,9,4
262,0,9,9,8,7,7,3,7,1,3,10,4,1,7,5,8,1
263,0,1,1,1,5,7,7,7,1,3,9,4,7,7,7,8,9
264,0,7,1,7,5,7,8,6,1,5,9,7,4,8,2,6,2
265,0,2,9,8,8,7,8,2,1,2,10,6,7,10,8,9,2
266,0,5,4,5,4,7,8,8,1,6,5,1,4,10,6,7,2
267,0,4,8,5,9,7,6,4,7,8,3,9,5,9,4,9,10
268,0,8,6,6,5,4,3,6,5,5,8,4,5,5,4,4,4
269,0,4,1,8,8,8,10,7,3,1,10,3,6,6,6,9,4
270,0,8,4,6,9,8,7,8,4,6,9,2,7,5,6,7,6
271,0,8,7,10,9,10,10,5,5,6,7,7,9,9,9,8,9
272,0,6,7,10,10,9,8,7,6,8,9,9,9,9,9,10,9
273,1,6,1,5,7,7,4,8,1,3,2,5,7,8,8,8,3
274,1,3,3,4,7,6,5,4,5,1,10,7,6,8,9,10,8
275,1,9,1,10,6,7,7,4,6,5,10,1,9,7,7,9,5
276,1,6,2,8,9,8,9,2,3,6,9,1,4,7,6,7,2
277,1,10,6,10,5,8,8,10,5,3,8,2,7,8,6,6,1
278,1,8,1,5,9,9,9,9,5,8,9,5,7,9,9,9,5
279,1,7,1,6,5,2,3,5,3,4,9,6,3,8,1,2,1
280,1,8,1,5,5,6,5,5,4,2,10,2,7,10,7,8,2
281,1,4,4,2,4,7,5,8,1,2,6,2,6,8,7,5,3
282,1,10,10,10,5,4,4,4,7,8,9,5,7,7,7,10,5
283,1,9,6,6,6,4,4,8,6,6,8,1,5,3,3,7,2
284,1,9,2,5,7,7,9,8,1,5,9,5,5,9,8,9,8
285,1,5,7,6,10,9,10,9,14,5,9,7,3,10,10,10,10
286,1,7,3,4,3,8,7,9,9,4,8,6,8,7,8,6,3
287,1,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8
288,1,9,5,3,8,5,5,6,4,4,9,2,6,7,5,7,2
289,1,10,6,1,7,3,6,10,5,3,10,6,5,7,6,8,2
290,1,7,1,8,7,7,4,3,2,1,10,1,3,5,9,10,2
291,1,9,7,7,7,7,7,5,6,5,7,5,6,7,5,8,5
292,1,10,5,8,8,7,5,10,7,9,7,4,7,9,5,10,1
293,1,6,9,7,10,8,7,6,6,8,9,6,9,9,8,8,6
379,0,4,4,6,7,8,8,7,2,2,6,7,7,9,6,6,3
380,0,7,8,8,8,5,5,3,1,5,5,7,7,10,9,9,9
381,0,5,5,5,7,8,8,6,5,6,9,6,4,8,7,8,8
382,0,6,5,10,10,9,9,6,8,3,8,10,8,10,9,9,9
383,0,9,7,9,9,8,8,5,1,5,6,9,4,9,8,7,7
384,0,8,5,7,9,10,10,3,3,7,6,7,10,10,5,6,6
385,0,7,5,8,10,10,10,10,6,8,9,6,10,10,8,10,9
386,0,1,3,5,8,7,7,2,5,7,8,8,9,9,8,8,8
387,0,5,5,8,8,6,6,4,3,8,7,7,8,8,7,7,8
388,0,7,4,8,7,3,3,5,3,4,7,6,6,7,6,6,6
389,0,7,8,5,8,7,7,10,2,1,10,7,8,8,10,10,7
390,0,6,1,6,10,6,6,8,1,4,10,6,8,8,8,8,4
391,0,8,1,6,8,6,7,9,1,9,9,1,3,5,5,5,4
392,0,4,3,3,9,10,9,9,1,3,10,6,8,10,5,10,7
393,0,3,2,3,5,9,9,4,3,4,9,6,7,8,7,7,5
394,0,3,1,4,9,8,8,10,1,1,10,6,9,9,8,7,7
395,0,3,4,4,10,8,8,6,1,8,9,3,10,10,7,9,7
396,0,3,8,7,10,10,10,7,7,7,10,9,10,10,10,10,7
397,1,9,8,8,6,7,7,6,2,6,7,5,7,8,4,7,5
398,1,4,1,2,10,7,7,9,9,8,7,7,7,9,6,5,6
399,1,9,2,9,9,9,9,7,3,5,9,1,6,7,8,10,3
400,1,7,4,7,7,6,6,6,1,8,7,1,7,7,6,7,1
401,1,10,1,4,8,8,8,8,2,5,5,1,8,8,10,10,7
402,1,10,2,6,9,6,6,9,7,4,3,3,5,8,4,4,6
403,1,9,8,3,7,4,3,5,3,3,5,6,5,8,3,6,2
404,1,10,5,8,10,8,8,9,7,9,8,4,5,8,7,8,6
405,1,6,1,6,9,8,9,2,6,8,8,6,10,9,7,9,9
406,1,4,6,8,9,6,7,8,6,6,7,7,8,9,7,10,2
407,1,8,4,7,9,9,9,7,4,2,9,5,7,10,9,9,7
408,1,7,7,9,8,9,8,3,5,1,6,2,4,8,6,10,2
409,1,10,4,1,4,7,8,10,2,8,7,2,6,8,10,10,5
410,1,10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1
411,1,7,6,6,7,7,6,3,3,1,8,1,7,6,7,10,8
412,1,10,10,10,5,8,8,0,7,3,8,6,5,5,8,8,4
413,1,6,7,5,7,5,3,5,5,4,6,8,6,9,6,6,7
414,1,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2
415,1,1,1,6,6,7,5,1,1,3,10,1,6,6,3,7,1
416,0,4,1,8,8,7,6,6,1,8,7,8,5,7,5,10,4
417,0,6,1,4,5,8,8,8,3,5,7,2,6,7,7,6,3
418,0,2,2,5,9,7,8,6,5,6,10,8,8,10,7,9,7
419,0,6,2,5,8,5,6,5,2,9,9,8,9,9,6,6,4
420,0,8,4,5,10,8,8,7,4,3,9,7,8,7,4,5,6
421,0,1,1,1,8,5,5,1,5,5,5,8,10,10,5,10,10
422,1,7,2,8,9,9,9,10,2,4,7,5,9,8,6,6,7
423,1,9,2,9,8,7,7,7,6,5,9,5,5,8,7,5,5
424,1,7,7,7,7,5,5,6,7,5,5,7,5,8,5,7,8
425,1,7,8,8,8,7,6,5,2,7,5,5,6,7,5,7,2
426,1,7,2,7,8,6,4,3,2,6,5,3,7,6,6,6,4
427,1,10,1,10,8,7,7,9,1,3,8,1,4,5,7,10,1
428,1,6,5,5,9,6,7,6,5,6,7,5,6,7,5,7,7
429,1,7,8,8,9,8,8,8,6,7,9,8,8,8,8,8,7
430,0,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5
431,0,10,9,7,10,10,10,10,5,4,10,7,7,5,8,10,10
432,0,2,2,2,10,10,10,7,1,6,6,4,9,8,8,7,5
433,0,3,3,8,8,8,8,8,1,6,7,5,7,8,5,5,5
434,0,4,2,9,6,3,3,3,2,7,2,6,2,2,4,7,8
435,0,5,5,6,9,8,8,3,2,9,9,1,8,7,9,9,10
436,0,8,5,9,10,8,7,8,5,1,9,10,8,10,6,10,10
437,0,6,7,7,8,9,9,8,5,6,9,7,10,10,10,10,5
438,0,3,1,8,9,5,5,8,4,7,6,5,7,9,10,9,8
439,0,8,4,8,9,8,9,6,1,7,9,6,4,9,9,9,6
440,1,10,10,10,10,7,7,7,3,1,3,5,5,10,8,10,8
441,1,6,1,6,7,7,8,7,14,9,9,8,9,10,10,10,7
442,1,7,1,7,5,1,1,7,1,8,6,1,1,5,3,5,2
443,1,9,5,7,8,5,5,5,3,7,6,1,6,7,8,8,4
444,1,8,8,9,2,6,8,6,2,5,2,7,1,10,3,5,5
445,1,9,6,8,8,5,3,9,5,9,10,5,4,10,8,9,5
446,1,9,2,9,8,8,7,6,3,6,6,5,6,6,5,8,3
447,1,7,5,6,8,3,2,6,2,5,6,3,4,8,4,9,2
448,1,3,2,4,9,8,9,3,5,9,7,3,6,7,6,10,6
449,1,8,2,6,8,7,5,5,3,1,9,7,6,9,2,6,4
450,1,7,3,9,9,9,9,9,9,3,5,7,9,10,9,10,5
451,1,3,3,2,4,4,3,3,4,3,6,7,5,7,7,8,6
452,1,9,6,8,7,8,7,8,7,9,8,7,8,9,8,10,5
453,1,6,3,5,6,6,5,6,5,3,6,6,4,7,6,5,4
509,0,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7
510,0,8,1,4,10,8,7,10,5,7,9,1,3,9,7,5,1
511,0,6,5,5,7,8,10,10,3,9,8,5,8,9,9,10,7
512,0,1,1,1,8,9,10,8,0,9,9,6,10,9,7,10,5
513,0,1,1,9,9,9,9,1,0,8,9,8,9,10,6,8,6
514,0,5,3,7,7,8,10,2,2,1,8,6,10,8,9,10,6
515,0,10,10,8,9,9,8,10,3,8,9,8,9,10,7,10,5
516,0,3,3,6,10,9,9,5,5,8,9,6,9,4,9,9,9
517,0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3
518,0,4,2,5,8,6,7,5,5,9,9,8,8,8,6,8,9
519,0,9,5,9,5,8,7,7,2,3,9,4,7,8,7,8,2
520,0,4,6,8,8,10,8,5,2,9,10,8,9,8,5,5,8
521,0,7,7,8,8,8,8,10,7,5,8,6,7,8,8,8,6
522,0,6,6,6,7,8,9,3,3,7,9,8,10,10,7,7,5
523,0,8,1,5,9,4,3,6,7,8,13,5,2,7,8,9,3
524,0,4,1,7,9,8,8,6,3,8,7,7,8,8,5,5,7
525,0,6,2,8,6,5,5,3,2,1,8,8,9,10,7,8,8
526,0,2,1,3,10,10,7,6,5,10,8,4,10,8,6,8,4
527,0,5,5,1,8,7,7,6,2,7,6,6,8,7,8,8,7
528,0,5,8,4,2,2,2,8,6,2,2,2,3,7,3,3,2
529,0,7,4,6,10,8,8,8,6,5,5,5,8,8,8,8,4
530,0,7,10,5,6,3,8,6,7,6,3,5,8,10,9,10,6
531,1,10,10,6,6,10,10,10,6,6,6,10,10,10,8,10,1
532,1,7,8,6,8,6,4,4,8,6,9,7,6,8,6,7,5
533,1,7,3,5,7,5,5,7,2,5,3,1,5,7,6,7,2
534,1,7,9,3,9,9,8,6,7,7,7,3,6,7,8,7,4
535,1,4,3,4,7,7,6,2,8,8,8,6,6,9,8,9,5
536,1,7,3,5,8,7,7,3,2,7,8,6,4,9,7,9,7
537,1,6,6,7,10,8,8,3,3,6,10,8,10,10,10,10,10
538,1,8,2,8,8,8,8,8,8,6,8,5,4,6,3,6,6
539,1,8,9,8,9,9,9,4,6,8,8,6,7,9,7,7,7
540,1,6,4,4,5,7,8,8,9,6,7,4,9,9,9,9,6
541,1,10,10,7,8,3,5,4,3,8,3,10,5,10,10,9,9
542,1,4,7,6,10,9,8,1,8,8,9,8,8,9,9,8,9
543,1,8,8,5,8,8,5,5,9,8,8,8,6,8,8,8,8
544,1,3,4,3,10,7,8,5,14,9,2,10,7,8,8,9,10
545,1,10,2,2,5,5,4,7,5,4,7,4,3,4,5,5,2
546,1,10,5,8,10,4,3,5,1,1,2,4,3,6,3,9,10
547,1,9,6,9,7,8,8,2,2,8,9,4,9,8,9,9,6
548,1,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4
549,1,8,5,6,9,7,7,4,8,8,7,7,8,8,10,10,8
550,1,5,3,5,9,7,8,3,3,8,8,3,7,7,4,6,6
551,1,6,1,7,6,7,3,2,1,7,10,2,5,6,7,7,7
552,1,8,2,5,10,10,10,7,1,9,8,3,7,9,10,10,7
