iid,gender,order,pid,int_corr,samerace,age_o,age,field,race,from,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr,sinc,intel,fun,amb,shar,like,prob,match_es,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,dec
2,0,10,11,0.29,1,27,24,law,2,Alabama,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5.0,7.0,8.0,4.0,6.0,3.0,6.0,4.0,3.0,NA,NA,NA,NA,NA,no
2,0,9,12,0.18,1,22,24,law,2,Alabama,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,8.0,5.0,6.0,6.0,9.0,6.0,7.0,3.0,3.0,NA,NA,NA,NA,NA,no
2,0,6,13,0.1,0,22,24,law,2,Alabama,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5.0,8.0,9.0,6.0,3.0,4.0,6.0,7.0,3.0,NA,NA,NA,NA,NA,no
2,0,1,14,-0.21,1,23,24,law,2,Alabama,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,7.0,9.0,7.0,6.0,5.0,7.0,7.0,8.0,3.0,NA,NA,NA,NA,NA,yes
2,0,3,15,0.32,0,24,24,law,2,Alabama,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,6.0,8.0,7.0,9.0,7.0,8.0,8.0,6.0,3.0,NA,NA,NA,NA,NA,no
2,0,2,16,0.73,1,25,24,law,2,Alabama,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,8.0,7.0,8.0,3.0,6.0,2.0,6.0,5.0,3.0,NA,NA,NA,NA,NA,no
2,0,7,17,0.6,1,30,24,law,2,Alabama,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,7.0,5.0,9.0,6.0,7.0,9.0,8.0,7.0,3.0,NA,NA,NA,NA,NA,yes
2,0,8,18,0.07,1,27,24,law,2,Alabama,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,5.0,8.0,7.0,5.0,9.0,5.0,5.0,6.0,3.0,NA,NA,NA,NA,NA,no
2,0,4,19,0.11,1,28,24,law,2,Alabama,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,7.0,6.0,8.0,9.0,4.0,5.0,5.0,6.0,3.0,NA,NA,NA,NA,NA,yes
2,0,5,20,0.39,1,24,24,law,2,Alabama,law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,6.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,3.0,NA,NA,NA,NA,NA,yes
3,0,6,11,-0.24,1,27,25,Economics,2,Connecticut,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,7.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,NA,NA,NA,NA,NA,NA,no
3,0,5,12,-0.14,1,22,25,Economics,2,Connecticut,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,9.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,NA,NA,NA,NA,NA,NA,no
3,0,2,13,0.09,0,22,25,Economics,2,Connecticut,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,7.0,9.0,9.0,7.0,9.0,7.0,8.0,7.0,NA,NA,NA,NA,NA,NA,no
3,0,7,14,-0.04,1,23,25,Economics,2,Connecticut,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,9.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,NA,NA,NA,NA,NA,NA,no
3,0,9,15,-0.14,0,24,25,Economics,2,Connecticut,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,9.0,10.0,10.0,10.0,10.0,10.0,9.0,NA,NA,NA,NA,NA,NA,NA,no
3,0,8,16,-0.3,1,25,25,Economics,2,Connecticut,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,8.0,10.0,10.0,7.0,9.0,9.0,8.0,NA,NA,NA,NA,NA,NA,NA,no
3,0,3,17,-0.26,1,30,25,Economics,2,Connecticut,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,8.0,9.0,10.0,7.0,7.0,9.0,8.0,7.0,NA,NA,NA,NA,NA,NA,no
3,0,4,18,0.29,1,27,25,Economics,2,Connecticut,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,7.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0,NA,NA,NA,NA,NA,NA,no
3,0,10,19,-0.15,1,28,25,Economics,2,Connecticut,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,NA,NA,NA,NA,NA,NA,no
3,0,1,20,-0.47,1,24,25,Economics,2,Connecticut,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,8.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,NA,NA,NA,NA,NA,NA,no
4,0,3,11,-0.18,1,27,23,Law,2,Texas,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,4.0,10.0,8.0,5.0,8.0,7.0,6.0,7.0,2.0,NA,NA,NA,NA,NA,no
4,0,2,12,-0.18,1,22,23,Law,2,Texas,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,8.0,7.0,8.0,10.0,7.0,8.0,8.0,1.0,2.0,NA,NA,NA,NA,NA,no
4,0,9,13,0.05,0,22,23,Law,2,Texas,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,4.0,7.0,8.0,8.0,6.0,7.0,4.0,1.0,2.0,NA,NA,NA,NA,NA,no
4,0,4,14,-0.18,1,23,23,Law,2,Texas,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,8.0,10.0,7.0,10.0,7.0,10.0,8.0,10.0,2.0,NA,NA,NA,NA,NA,yes
4,0,6,15,0.21,0,24,23,Law,2,Texas,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,6.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0,2.0,NA,NA,NA,NA,NA,no
4,0,5,16,0.37,1,25,23,Law,2,Texas,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,5.0,10.0,8.0,4.0,8.0,2.0,4.0,3.0,2.0,NA,NA,NA,NA,NA,no
4,0,10,17,0.35,1,30,23,Law,2,Texas,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,7.0,10.0,10.0,7.0,10.0,5.0,5.0,1.0,2.0,NA,NA,NA,NA,NA,no
4,0,1,18,0.15,1,27,23,Law,2,Texas,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,5.0,9.0,9.0,5.0,9.0,7.0,6.0,6.0,2.0,NA,NA,NA,NA,NA,no
4,0,7,19,-0.47,1,28,23,Law,2,Texas,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,9.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,2.0,NA,NA,NA,NA,NA,yes
4,0,8,20,-0.19,1,24,23,Law,2,Texas,lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,8.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0,2.0,NA,NA,NA,NA,NA,yes
5,0,1,11,-0.43,1,27,21,Law,2,Bowdoin College,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,5.0,8.0,8.0,2.0,2.0,2.0,7.0,5.0,NA,NA,NA,NA,NA,NA,no
5,0,10,12,0.0,1,22,21,Law,2,Bowdoin College,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,8.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,NA,NA,NA,NA,NA,NA,no
5,0,7,13,-0.17,0,22,21,Law,2,Bowdoin College,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,4.0,6.0,8.0,8.0,6.0,5.0,6.0,5.0,NA,NA,NA,NA,NA,NA,no
5,0,2,14,0.08,1,23,21,Law,2,Bowdoin College,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,8.0,5.0,5.0,7.0,7.0,9.0,8.0,2.0,NA,NA,NA,NA,NA,NA,yes
5,0,4,15,-0.16,0,24,21,Law,2,Bowdoin College,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,6.0,7.0,7.0,5.0,4.0,8.0,7.0,4.0,NA,NA,NA,NA,NA,NA,no
5,0,3,16,0.06,1,25,21,Law,2,Bowdoin College,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,5.0,6.0,7.0,5.0,7.0,8.0,7.0,3.0,NA,NA,NA,NA,NA,NA,yes
5,0,8,17,-0.05,1,30,21,Law,2,Bowdoin College,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,6.0,6.0,8.0,5.0,5.0,6.0,6.0,3.0,NA,NA,NA,NA,NA,NA,yes
5,0,9,18,0.07,1,27,21,Law,2,Bowdoin College,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,5.0,5.0,7.0,6.0,7.0,5.0,6.0,4.0,NA,NA,NA,NA,NA,NA,yes
5,0,5,19,-0.13,1,28,21,Law,2,Bowdoin College,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7.0,5.0,7.0,8.0,7.0,9.0,9.0,4.0,NA,NA,NA,NA,NA,NA,yes
5,0,6,20,-0.06,1,24,21,Law,2,Bowdoin College,lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,9.0,6.0,7.0,9.0,6.0,5.0,10.0,3.0,NA,NA,NA,NA,NA,NA,yes
6,0,5,11,0.33,0,27,23,law,4,MD,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,6.0,9.0,7.0,6.0,7.0,6.0,6.0,6.0,4.0,NA,NA,NA,NA,NA,yes
6,0,4,12,0.37,0,22,23,law,4,MD,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,6.0,9.0,9.0,6.0,8.0,2.0,7.0,6.0,4.0,NA,NA,NA,NA,NA,yes
6,0,1,13,-0.51,1,22,23,law,4,MD,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4.0,7.0,9.0,4.0,3.0,2.0,6.0,2.0,4.0,NA,NA,NA,NA,NA,no
6,0,6,14,0.12,0,23,23,law,4,MD,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,8.0,6.0,7.0,8.0,2.0,8.0,9.0,4.0,4.0,NA,NA,NA,NA,NA,yes
6,0,8,15,0.35,0,24,23,law,4,MD,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,5.0,4.0,8.0,8.0,4.0,2.0,4.0,3.0,4.0,NA,NA,NA,NA,NA,no
6,0,7,16,0.19,0,25,23,law,4,MD,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,3.0,7.0,6.0,1.0,1.0,1.0,2.0,2.0,4.0,NA,NA,NA,NA,NA,no
6,0,2,17,0.47,0,30,23,law,4,MD,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,8.0,8.0,8.0,8.0,3.0,4.0,8.0,7.0,4.0,NA,NA,NA,NA,NA,yes
6,0,3,18,0.03,0,27,23,law,4,MD,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4.0,8.0,9.0,2.0,8.0,3.0,5.0,5.0,4.0,NA,NA,NA,NA,NA,no
6,0,9,19,0.46,0,28,23,law,4,MD,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,7.0,6.0,8.0,8.0,6.0,9.0,9.0,6.0,4.0,NA,NA,NA,NA,NA,yes
6,0,10,20,0.43,0,24,23,law,4,MD,lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,8.0,9.0,9.0,9.0,10.0,7.0,9.0,8.0,4.0,NA,NA,NA,NA,NA,yes
7,0,2,11,0.19,0,27,22,Law,4,Southern California,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,4.0,8.0,8.0,5.0,7.0,4.0,7.0,4.0,2.0,NA,NA,NA,NA,NA,no
7,0,1,12,0.21,0,22,22,Law,4,Southern California,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,6.0,6.0,8.0,4.0,9.0,4.0,7.0,3.0,2.0,NA,NA,NA,NA,NA,no
7,0,8,13,0.52,1,22,22,Law,4,Southern California,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,3.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,2.0,NA,NA,NA,NA,NA,no
7,0,3,14,-0.46,0,23,22,Law,4,Southern California,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0,2.0,NA,NA,NA,NA,NA,yes
7,0,5,15,-0.27,0,24,22,Law,4,Southern California,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,4.0,7.0,7.0,4.0,8.0,5.0,5.0,6.0,2.0,NA,NA,NA,NA,NA,no
7,0,4,16,0.59,0,25,22,Law,4,Southern California,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,4.0,8.0,7.0,4.0,5.0,4.0,5.0,5.0,2.0,NA,NA,NA,NA,NA,no
7,0,9,17,0.31,0,30,22,Law,4,Southern California,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,2.0,NA,NA,NA,NA,NA,yes
7,0,10,18,0.08,0,27,22,Law,4,Southern California,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,5.0,7.0,8.0,5.0,9.0,5.0,5.0,7.0,2.0,NA,NA,NA,NA,NA,no
7,0,6,19,-0.34,0,28,22,Law,4,Southern California,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,6.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0,2.0,NA,NA,NA,NA,NA,yes
7,0,7,20,-0.16,0,24,22,Law,4,Southern California,Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,8.0,6.0,7.0,7.0,8.0,6.0,7.0,5.0,2.0,NA,NA,NA,NA,NA,yes
8,0,7,11,-0.03,1,27,25,Masters in Public Administration,2,"London, England",Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,5.0,8.0,7.0,4.0,7.0,5.0,4.0,5.0,NA,NA,NA,NA,NA,NA,yes
8,0,6,12,-0.11,1,22,25,Masters in Public Administration,2,"London, England",Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,8.0,7.0,7.0,9.0,6.0,7.0,8.0,7.0,NA,NA,NA,NA,NA,NA,yes
8,0,3,13,0.42,0,22,25,Masters in Public Administration,2,"London, England",Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,5.0,8.0,8.0,6.0,7.0,7.0,5.0,5.0,NA,NA,NA,NA,NA,NA,yes
8,0,8,14,-0.4,1,23,25,Masters in Public Administration,2,"London, England",Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,8.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,NA,NA,NA,NA,NA,NA,yes
8,0,10,15,-0.23,0,24,25,Masters in Public Administration,2,"London, England",Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6.0,8.0,8.0,5.0,6.0,7.0,6.0,5.0,NA,NA,NA,NA,NA,NA,yes
8,0,9,16,0.28,1,25,25,Masters in Public Administration,2,"London, England",Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6.0,8.0,8.0,5.0,6.0,7.0,6.0,5.0,NA,NA,NA,NA,NA,NA,yes
8,0,4,17,0.05,1,30,25,Masters in Public Administration,2,"London, England",Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6.0,7.0,8.0,5.0,7.0,7.0,6.0,6.0,NA,NA,NA,NA,NA,NA,yes
8,0,5,18,0.17,1,27,25,Masters in Public Administration,2,"London, England",Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,5.0,6.0,7.0,4.0,5.0,6.0,5.0,4.0,NA,NA,NA,NA,NA,NA,yes
8,0,1,19,-0.47,1,28,25,Masters in Public Administration,2,"London, England",Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,8.0,8.0,5.0,9.0,8.0,9.0,7.0,10.0,NA,NA,NA,NA,NA,NA,yes
8,0,2,20,-0.21,1,24,25,Masters in Public Administration,2,"London, England",Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,7.0,6.0,8.0,7.0,9.0,8.0,8.0,7.0,NA,NA,NA,NA,NA,NA,yes
9,0,8,11,0.19,0,27,26,Masters in Public Administration,6,"Palm Springs, California","Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,8.0,10.0,9.0,8.0,7.0,6.0,5.0,5.0,1.0,NA,NA,NA,NA,NA,yes
9,0,7,12,0.03,0,22,26,Masters in Public Administration,6,"Palm Springs, California","Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,1.0,NA,NA,NA,NA,NA,yes
9,0,4,13,0.68,0,22,26,Masters in Public Administration,6,"Palm Springs, California","Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,5.0,10.0,10.0,6.0,6.0,6.0,8.0,5.0,1.0,NA,NA,NA,NA,NA,yes
9,0,9,14,-0.26,0,23,26,Masters in Public Administration,6,"Palm Springs, California","Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,10.0,9.0,8.0,8.0,7.0,7.0,7.0,5.0,1.0,NA,NA,NA,NA,NA,yes
9,0,1,15,-0.01,0,24,26,Masters in Public Administration,6,"Palm Springs, California","Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,5.0,10.0,8.0,8.0,5.0,5.0,5.0,5.0,1.0,NA,NA,NA,NA,NA,yes
9,0,10,16,0.42,0,25,26,Masters in Public Administration,6,"Palm Springs, California","Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,8.0,9.0,9.0,7.0,6.0,5.0,6.0,5.0,1.0,NA,NA,NA,NA,NA,yes
9,0,5,17,0.21,0,30,26,Masters in Public Administration,6,"Palm Springs, California","Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6.0,8.0,9.0,6.0,6.0,6.0,7.0,5.0,1.0,NA,NA,NA,NA,NA,yes
9,0,6,18,0.1,0,27,26,Masters in Public Administration,6,"Palm Springs, California","Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6.0,7.0,8.0,7.0,9.0,6.0,7.0,5.0,1.0,NA,NA,NA,NA,NA,yes
9,0,2,19,-0.35,0,28,26,Masters in Public Administration,6,"Palm Springs, California","Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,8.0,5.0,5.0,6.0,5.0,5.0,7.0,6.0,1.0,NA,NA,NA,NA,NA,yes
9,0,3,20,-0.23,0,24,26,Masters in Public Administration,6,"Palm Springs, California","Congresswoman, and comedian",4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,7.0,8.0,7.0,8.0,7.0,8.0,8.0,5.0,1.0,NA,NA,NA,NA,NA,yes
10,0,9,11,0.3,1,27,26,Masters of Social Work&Education,2,94115,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,6.0,10.0,10.0,6.0,6.0,NA,6.0,3.0,NA,NA,NA,NA,NA,NA,no
10,0,8,12,0.65,1,22,26,Masters of Social Work&Education,2,94115,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,no
10,0,5,13,-0.15,0,22,26,Masters of Social Work&Education,2,94115,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,6.0,10.0,10.0,10.0,6.0,NA,7.0,6.0,NA,NA,NA,NA,NA,NA,yes
10,0,10,14,0.17,1,23,26,Masters of Social Work&Education,2,94115,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,10.0,10.0,10.0,10.0,10.0,NA,10.0,1.0,NA,NA,NA,NA,NA,NA,no
10,0,2,15,0.24,0,24,26,Masters of Social Work&Education,2,94115,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,5.0,7.0,7.0,7.0,7.0,NA,6.0,1.0,NA,NA,NA,NA,NA,NA,no
10,0,1,16,0.15,1,25,26,Masters of Social Work&Education,2,94115,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,5.0,10.0,6.0,4.0,6.0,NA,6.0,1.0,NA,NA,NA,NA,NA,NA,no
10,0,6,17,0.41,1,30,26,Masters of Social Work&Education,2,94115,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,5.0,10.0,8.0,6.0,9.0,NA,7.0,1.0,NA,NA,NA,NA,NA,NA,yes
10,0,7,18,0.07,1,27,26,Masters of Social Work&Education,2,94115,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,5.0,6.0,6.0,4.0,5.0,NA,5.0,5.0,NA,NA,NA,NA,NA,NA,no
10,0,3,19,0.49,1,28,26,Masters of Social Work&Education,2,94115,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,NA,NA,NA,NA,NA,NA,yes
10,0,4,20,0.08,1,24,26,Masters of Social Work&Education,2,94115,To create early childhood intervention programs,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,9.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0,NA,NA,NA,NA,NA,NA,yes
11,1,4,1,0.14,0,21,27,Finance,2,Argentina,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0,0.0,NA,NA,NA,NA,NA,no
11,1,10,2,0.29,1,24,27,Finance,2,Argentina,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,8.0,7.0,6.0,9.0,7.0,4.0,7.0,2.0,0.0,NA,NA,NA,NA,NA,no
11,1,6,3,-0.24,1,25,27,Finance,2,Argentina,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7.0,8.0,6.0,5.0,8.0,4.0,5.0,2.0,0.0,NA,NA,NA,NA,NA,no
11,1,3,4,-0.18,1,23,27,Finance,2,Argentina,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,6.0,7.0,8.0,7.0,7.0,5.0,6.0,3.0,0.0,NA,NA,NA,NA,NA,no
11,1,1,5,-0.43,1,21,27,Finance,2,Argentina,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,6.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,0.0,NA,NA,NA,NA,NA,no
11,1,5,6,0.33,0,23,27,Finance,2,Argentina,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7.0,9.0,8.0,9.0,8.0,4.0,7.0,4.0,0.0,NA,NA,NA,NA,NA,no
11,1,2,7,0.19,0,22,27,Finance,2,Argentina,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,0.0,NA,NA,NA,NA,NA,no
11,1,7,8,-0.03,1,25,27,Finance,2,Argentina,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,8.0,7.0,6.0,6.0,6.0,5.0,7.0,4.0,0.0,NA,NA,NA,NA,NA,no
11,1,8,9,0.19,0,26,27,Finance,2,Argentina,"Academia, Research, Banking, Life",8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,6.0,8.0,7.0,8.0,7.0,5.0,6.0,4.0,0.0,NA,NA,NA,NA,NA,no
