state,name,FIPS,pop2010,pop2000,age_under_5,age_under_18,age_over_65,female,white,black,native,asian,pac_isl,two_plus_races,hispanic,white_not_hispanic,no_move_in_one_plus_year,foreign_born,foreign_spoken_at_home,hs_grad,bachelors,veterans,mean_work_travel,housing_units,home_ownership,housing_multi_unit,median_val_owner_occupied,households,persons_per_household,per_capita_income,median_household_income,poverty,private_nonfarm_establishments,private_nonfarm_employment,percent_change_private_nonfarm_employment,nonemployment_establishments,firms,black_owned_firms,native_owned_firms,asian_owned_firms,pac_isl_owned_firms,hispanic_owned_firms,women_owned_firms,manufacturer_shipments_2007,mercent_whole_sales_2007,sales,sales_per_capita,accommodation_food_service,building_permits,fed_spending,area,density
Alabama,Chilton County,1021.0,43643.0,39593.0,6.9,25.1,13.6,50.5,84.1,9.7,0.4,0.3,NA,1.2,7.8,81.1,88.1,4.0,6.0,75.9,12.2,3317.0,32.0,19278.0,75.1,4.4,103700.0,16563.0,2.59,20517.0,39486.0,18.4,744.0,7048.0,3.3,2786.0,NA,NA,NA,NA,NA,NA,NA,NA,155139.0,359910.0,8496.0,34073.0,22.0,276001.0,692.85,63.0
Alabama,Choctaw County,1023.0,13859.0,15922.0,5.4,22.7,18.2,51.7,55.8,43.4,0.1,0.1,0.0,0.4,0.5,55.6,92.1,0.3,1.6,71.1,10.9,745.0,34.8,7269.0,85.6,3.9,63400.0,5296.0,2.61,17214.0,31076.0,18.7,276.0,2969.0,-19.5,806.0,1102.0,26.2,NA,NA,NA,NA,44.1,NA,52904.0,84633.0,5969.0,11345.0,1.0,147465.0,913.5,15.2
Alabama,Clarke County,1025.0,25833.0,27867.0,5.7,24.7,16.2,52.7,54.5,43.9,0.4,0.3,NA,0.7,1.0,54.0,93.5,0.2,1.1,76.1,13.5,1649.0,25.1,12638.0,80.0,6.3,73300.0,9144.0,2.84,17372.0,27439.0,29.2,623.0,6944.0,-11.5,1746.0,2374.0,NA,NA,NA,NA,NA,28.6,571454.0,85803.0,344311.0,13034.0,23596.0,5.0,252684.0,1238.47,20.9
Alabama,Clay County,1027.0,13932.0,14254.0,5.7,22.6,17.6,51.0,81.7,14.8,0.4,0.2,NA,1.7,2.9,80.3,84.9,2.0,2.8,71.4,9.5,1148.0,27.3,6776.0,72.8,11.2,82900.0,5851.0,2.24,18332.0,35595.0,18.8,204.0,3253.0,-28.6,765.0,1005.0,NA,NA,NA,NA,NA,NA,330878.0,NA,70558.0,5123.0,4352.0,2.0,125147.0,603.96,23.1
Alabama,Cleburne County,1029.0,14972.0,14123.0,6.3,23.7,15.8,50.2,94.0,3.3,0.3,0.2,NA,1.1,2.1,93.2,86.1,1.2,1.8,70.3,8.4,1126.0,29.1,6718.0,74.9,5.3,87900.0,5397.0,2.71,17490.0,36077.0,17.1,180.0,2071.0,-8.2,980.0,1280.0,NA,NA,NA,NA,NA,17.7,0.0,5888.0,133407.0,9080.0,4134.0,8.0,102409.0,560.1,26.7
Alabama,Coffee County,1031.0,49948.0,43615.0,6.6,24.2,14.4,50.6,74.7,16.7,1.3,1.3,0.2,2.5,6.4,72.3,80.9,4.6,6.3,79.3,22.1,5947.0,20.7,22330.0,69.7,13.6,116700.0,18928.0,2.51,22797.0,42253.0,17.2,1016.0,12499.0,-5.5,2563.0,4032.0,6.0,NA,1.3,NA,0.7,29.3,613758.0,131594.0,639623.0,13665.0,50080.0,239.0,1015477.0,678.97,73.6
Alabama,Colbert County,1033.0,54428.0,54984.0,5.8,22.1,17.4,51.9,80.5,16.1,0.5,0.4,NA,1.6,2.0,79.6,85.0,1.6,2.6,80.1,16.4,4586.0,22.7,25758.0,73.5,12.3,94700.0,22165.0,2.41,21079.0,39610.0,15.7,1290.0,19703.0,1.6,3727.0,4757.0,NA,NA,NA,NA,NA,22.8,2083166.0,351388.0,821284.0,15040.0,61935.0,88.0,527282.0,592.62,91.8
Alabama,Conecuh County,1035.0,13228.0,14089.0,5.9,23.0,17.9,51.5,51.3,46.5,0.3,0.1,0.0,1.0,1.2,51.1,95.9,0.0,1.0,71.3,9.7,1185.0,25.2,7093.0,81.6,6.0,72500.0,4861.0,2.74,15755.0,26944.0,30.6,216.0,2612.0,-30.7,855.0,980.0,NA,NA,NA,NA,NA,23.0,183544.0,76736.0,71232.0,5430.0,8667.0,1.0,146576.0,850.16,15.6
Alabama,Coosa County,1037.0,11539.0,12202.0,4.9,20.5,17.1,50.4,66.3,31.0,0.3,0.1,NA,0.9,2.0,65.9,88.6,0.6,1.4,73.1,10.6,1097.0,30.2,6478.0,83.7,1.9,73100.0,4561.0,2.43,19209.0,35560.0,16.0,106.0,1050.0,-26.6,479.0,545.0,NA,NA,NA,NA,NA,NA,89585.0,31647.0,20531.0,1904.0,575.0,0.0,90463.0,650.93,17.7
Alabama,Covington County,1039.0,37765.0,37631.0,6.0,22.6,18.4,51.6,84.8,12.5,0.6,0.4,NA,1.4,1.3,84.1,88.3,1.5,2.2,76.5,13.1,3764.0,20.8,18829.0,74.0,6.1,85700.0,14663.0,2.54,19822.0,33852.0,19.0,865.0,10810.0,-1.0,2208.0,2957.0,NA,NA,NA,NA,NA,NA,561168.0,338692.0,424873.0,11544.0,30271.0,12.0,357327.0,1030.46,36.6
Alabama,Crenshaw County,1041.0,13906.0,13665.0,6.0,23.8,15.9,51.7,72.6,23.4,0.4,1.4,NA,1.5,1.5,72.1,89.1,4.1,4.6,73.7,10.1,1256.0,27.4,6735.0,67.8,9.2,71900.0,5641.0,2.46,19793.0,35140.0,17.7,243.0,3212.0,9.2,800.0,1027.0,25.8,NA,NA,NA,NA,30.2,270809.0,131874.0,75456.0,5491.0,5640.0,1.0,134197.0,608.84,22.8
Alabama,Cullman County,1043.0,80406.0,77483.0,6.1,23.2,15.9,50.6,94.7,1.1,0.5,0.4,NA,1.1,4.3,92.7,85.3,2.6,4.2,76.9,13.8,6708.0,27.4,37054.0,74.7,8.5,102200.0,31263.0,2.51,20284.0,38567.0,16.7,1737.0,22761.0,4.3,5727.0,7873.0,1.1,NA,1.1,NA,NA,23.9,1393437.0,NA,867058.0,10757.0,102291.0,24.0,624001.0,734.84,109.4
Alabama,Dale County,1045.0,50251.0,49129.0,7.3,24.8,13.5,50.6,74.1,19.3,0.7,1.1,0.1,3.0,5.6,71.1,76.5,3.6,6.2,82.2,17.5,7148.0,20.0,22677.0,61.2,13.2,93900.0,19545.0,2.49,21722.0,43353.0,14.8,844.0,13221.0,30.2,2370.0,2951.0,NA,NA,NA,NA,NA,NA,114991.0,69341.0,332503.0,6889.0,37229.0,136.0,1295209.0,561.15,89.6
Alabama,Dallas County,1047.0,43820.0,46365.0,7.3,26.5,14.1,53.8,29.1,69.4,0.2,0.3,NA,0.7,0.7,28.9,85.8,0.7,1.4,76.8,14.3,3384.0,24.7,20208.0,62.6,16.0,70300.0,16795.0,2.6,16646.0,26029.0,31.8,788.0,11745.0,-22.3,2782.0,3148.0,49.1,NA,4.4,NA,NA,28.8,1174763.0,NA,437359.0,10223.0,33708.0,36.0,611206.0,978.7,44.8
Alabama,DeKalb County,1049.0,71109.0,64452.0,7.1,25.8,13.9,50.6,84.5,1.5,1.4,0.3,0.2,2.2,13.6,81.6,87.4,7.2,10.4,68.1,10.9,4514.0,23.1,31109.0,77.5,6.4,84400.0,25937.0,2.65,18152.0,35065.0,20.0,1127.0,17512.0,-16.7,4556.0,5908.0,NA,0.8,0.6,NA,NA,25.8,1831626.0,NA,635185.0,9303.0,67915.0,32.0,447088.0,777.09,91.5
Alabama,Elmore County,1051.0,79303.0,65874.0,6.1,23.6,11.9,51.2,76.2,20.0,0.4,0.7,NA,1.4,2.7,75.0,83.2,2.2,3.7,83.8,20.2,8363.0,27.5,32657.0,77.6,7.0,136500.0,27762.0,2.55,22640.0,53128.0,12.4,1143.0,14374.0,53.4,4916.0,6513.0,9.1,NA,NA,NA,NA,28.3,766344.0,104885.0,618313.0,7982.0,47884.0,128.0,507314.0,618.49,128.2
Alabama,Escambia County,1053.0,38319.0,38440.0,6.2,22.6,15.2,48.4,62.1,31.9,3.4,0.2,NA,1.5,1.9,61.3,88.4,1.1,1.6,73.0,10.9,3146.0,24.6,16486.0,73.5,7.8,83800.0,13804.0,2.51,16259.0,31927.0,24.4,802.0,9769.0,-16.3,2027.0,2765.0,9.0,3.2,NA,NA,NA,21.3,665336.0,93125.0,379587.0,10089.0,31909.0,7.0,299086.0,945.08,40.5
Alabama,Etowah County,1055.0,104430.0,103459.0,5.9,23.0,15.8,51.5,80.3,15.1,0.4,0.6,NA,1.5,3.3,79.3,83.4,2.3,3.0,81.2,15.8,9837.0,23.6,47454.0,73.0,11.9,98200.0,41584.0,2.46,20439.0,36422.0,16.8,2079.0,29773.0,-13.3,6765.0,9147.0,6.1,NA,NA,NA,0.6,25.7,1252962.0,518424.0,1114841.0,10801.0,137966.0,105.0,966534.0,534.99,195.2
Alabama,Fayette County,1057.0,17241.0,18495.0,5.8,22.3,17.9,50.7,86.5,11.4,0.3,0.2,NA,1.0,1.2,86.0,87.2,0.5,1.4,74.7,9.5,1319.0,27.2,8437.0,76.0,7.9,71500.0,7164.0,2.39,17711.0,34560.0,17.9,328.0,3886.0,-27.2,1051.0,1378.0,5.1,NA,NA,NA,NA,24.3,186247.0,22463.0,130362.0,7433.0,10869.0,3.0,140438.0,627.66,27.5
Alabama,Franklin County,1059.0,31704.0,31223.0,7.1,24.8,15.2,50.1,83.0,3.9,0.7,0.2,0.0,1.7,14.9,79.6,84.6,7.9,11.6,69.6,11.8,2059.0,24.4,14022.0,69.2,10.4,78200.0,12367.0,2.49,18094.0,33942.0,19.5,564.0,8984.0,-8.7,1944.0,2357.0,NA,NA,NA,NA,NA,23.2,671954.0,67398.0,269096.0,8786.0,25389.0,12.0,305125.0,633.82,50.0
Alabama,Geneva County,1061.0,26790.0,25764.0,5.9,22.4,17.4,51.1,86.3,9.5,0.8,0.3,NA,1.6,3.4,84.7,84.5,1.6,3.0,72.3,8.0,2547.0,26.1,12687.0,71.6,6.6,77200.0,10720.0,2.44,18351.0,34140.0,16.3,437.0,4199.0,-4.8,1558.0,1736.0,NA,NA,NA,NA,NA,NA,153342.0,231687.0,170044.0,6612.0,10402.0,18.0,250317.0,574.41,46.6
Alabama,Greene County,1063.0,9045.0,9974.0,6.1,24.3,16.1,52.8,17.4,81.5,0.2,0.2,0.0,0.5,0.8,17.3,88.4,0.9,1.3,72.6,9.9,460.0,25.1,5007.0,71.1,11.1,71500.0,3522.0,2.57,14738.0,22222.0,30.8,104.0,1430.0,8.6,451.0,657.0,60.3,NA,NA,NA,NA,36.1,0.0,NA,33639.0,3697.0,1226.0,3.0,117112.0,647.11,14.0
Alabama,Hale County,1065.0,15760.0,17185.0,6.1,24.8,15.0,52.6,39.8,59.0,0.2,0.2,NA,0.6,0.9,39.4,88.7,0.9,1.8,69.9,10.0,1209.0,28.0,7655.0,74.3,6.1,70600.0,5843.0,2.76,16523.0,29299.0,24.6,201.0,2314.0,-27.8,1001.0,882.0,NA,NA,NA,NA,NA,NA,NA,NA,86735.0,4794.0,3136.0,22.0,177021.0,643.94,24.5
Alabama,Henry County,1067.0,17302.0,16310.0,5.4,22.6,17.6,52.0,68.6,28.6,0.3,0.3,NA,1.0,2.2,67.8,92.9,2.5,3.4,76.1,15.0,1548.0,23.3,8891.0,81.9,3.2,89700.0,6656.0,2.56,19716.0,38379.0,15.1,312.0,2722.0,-35.0,942.0,1091.0,NA,NA,NA,NA,NA,18.2,425821.0,NA,92574.0,5559.0,7415.0,42.0,152058.0,561.75,30.8
Alabama,Houston County,1069.0,101547.0,88787.0,6.6,24.5,14.5,52.0,70.0,25.8,0.4,0.8,NA,1.7,2.9,68.7,85.8,2.2,4.1,81.9,19.0,9168.0,19.7,45319.0,67.4,15.2,116300.0,38035.0,2.57,22725.0,41022.0,16.8,2823.0,43725.0,-5.4,6460.0,10151.0,12.1,NA,1.4,NA,1.3,25.5,1310677.0,NA,1909615.0,19608.0,177224.0,261.0,749924.0,579.82,175.1
Alabama,Jackson County,1071.0,53227.0,53926.0,5.6,22.5,16.5,50.9,90.8,3.3,1.4,0.3,NA,2.6,2.5,90.1,89.8,1.5,2.9,74.0,12.0,4165.0,26.2,24786.0,76.6,5.8,86300.0,21173.0,2.51,18905.0,36312.0,17.5,851.0,11137.0,-24.7,3317.0,4337.0,NA,4.3,NA,NA,NA,26.8,1525396.0,NA,410988.0,7784.0,39315.0,18.0,664456.0,1077.87,49.4
Alabama,Jefferson County,1073.0,658466.0,662047.0,6.7,23.5,13.1,52.6,53.0,42.0,0.3,1.4,0.0,1.1,3.9,51.7,83.0,4.1,5.7,86.6,28.8,51882.0,23.3,300552.0,66.8,24.0,138300.0,260441.0,2.47,26529.0,45244.0,15.5,16789.0,325281.0,-10.2,44204.0,55470.0,23.4,0.4,2.4,NA,1.3,29.8,10260950.0,13756797.0,11066328.0,16730.0,1268154.0,1277.0,6996508.0,1111.28,592.5
Alabama,Lamar County,1075.0,14564.0,15904.0,5.9,22.2,18.8,51.3,86.7,11.3,0.2,0.0,0.0,1.3,1.2,86.1,88.3,0.2,1.0,75.3,9.2,1264.0,25.5,7354.0,75.1,9.0,68200.0,5944.0,2.43,19789.0,33887.0,18.5,250.0,2875.0,-40.6,1026.0,1340.0,NA,NA,NA,NA,NA,25.8,234908.0,NA,70780.0,4887.0,6008.0,1.0,145136.0,604.85,24.1
Alabama,Lauderdale County,1077.0,92709.0,87966.0,5.6,21.6,16.8,52.1,86.4,10.0,0.4,0.7,NA,1.4,2.2,85.5,84.9,1.8,2.8,82.9,21.5,8022.0,23.5,43791.0,73.0,14.7,107400.0,37713.0,2.38,22341.0,39345.0,17.7,2018.0,25727.0,-17.7,6648.0,8317.0,5.5,NA,0.8,NA,NA,27.6,1083658.0,514555.0,1131585.0,12783.0,136587.0,144.0,751511.0,667.7,138.8
Alabama,Lawrence County,1079.0,34339.0,34803.0,6.3,23.2,14.6,51.1,77.6,11.5,5.7,0.1,NA,4.3,1.7,76.9,90.2,1.7,2.1,75.2,10.7,2299.0,26.1,15229.0,78.7,5.1,97600.0,13412.0,2.54,19370.0,40516.0,13.6,426.0,4748.0,-11.9,2043.0,2289.0,NA,NA,NA,NA,1.1,NA,NA,23787.0,166958.0,4889.0,22719.0,0.0,228456.0,690.68,49.7
Alabama,Lee County,1081.0,140247.0,115092.0,6.2,22.5,9.1,50.7,71.3,22.7,0.3,2.6,NA,1.6,3.3,69.8,76.4,4.9,6.6,85.2,30.9,9711.0,20.3,62391.0,64.2,23.3,139500.0,54016.0,2.41,22794.0,40894.0,19.2,2431.0,37367.0,15.8,8314.0,10319.0,16.2,NA,2.0,0.4,NA,28.2,NA,NA,1451634.0,11099.0,201205.0,971.0,772183.0,607.54,230.8
Alabama,Limestone County,1083.0,82782.0,65676.0,6.5,24.0,12.3,49.4,80.3,12.6,0.7,1.1,NA,1.8,5.5,78.7,85.8,3.5,5.7,80.4,20.8,6720.0,25.0,34977.0,77.1,9.4,122300.0,30028.0,2.52,24007.0,46682.0,13.5,1274.0,15993.0,-7.6,4897.0,5914.0,4.8,1.1,0.8,NA,1.3,25.8,947299.0,248292.0,723200.0,9785.0,68140.0,138.0,515413.0,559.94,147.8
Alabama,Lowndes County,1085.0,11299.0,13473.0,6.6,24.2,14.6,53.2,25.3,73.5,0.2,0.1,NA,0.5,0.8,25.1,91.4,0.3,0.8,73.4,12.7,772.0,35.4,5140.0,75.4,7.0,64e3,4205.0,2.76,16524.0,29714.0,27.3,127.0,2320.0,7.9,887.0,682.0,57.3,NA,NA,NA,NA,35.2,1156888.0,NA,103636.0,8184.0,595.0,3.0,114440.0,715.91,15.8
Alabama,Macon County,1087.0,21452.0,24105.0,5.4,20.6,14.1,54.2,15.5,82.6,0.1,0.4,NA,1.1,1.1,15.2,81.1,0.5,2.8,78.8,20.9,2165.0,22.8,10259.0,68.0,15.5,79200.0,7969.0,2.33,16380.0,27544.0,27.4,216.0,6433.0,1.4,1328.0,1584.0,66.7,NA,NA,NA,NA,NA,0.0,NA,87509.0,3932.0,19354.0,5.0,319158.0,608.89,35.2
Alabama,Madison County,1089.0,334811.0,276700.0,6.2,23.7,12.2,50.9,68.2,24.0,0.8,2.5,0.1,2.5,4.6,66.1,83.1,5.5,6.7,87.8,37.4,33909.0,20.8,146447.0,70.4,21.4,155600.0,126564.0,2.49,29918.0,55851.0,12.0,8143.0,154144.0,21.6,20514.0,26467.0,12.3,1.4,3.5,NA,1.3,29.2,8650700.0,2970410.0,4438653.0,14145.0,596324.0,2137.0,9978211.0,801.59,417.7
Alabama,Marengo County,1091.0,21027.0,22539.0,6.2,24.7,16.3,52.9,46.4,51.7,0.2,0.3,NA,0.8,1.7,45.7,87.9,0.3,0.9,79.7,17.9,1669.0,21.1,10237.0,73.5,8.3,79e3,8494.0,2.46,18323.0,32940.0,22.7,495.0,5963.0,-3.4,1179.0,1604.0,NA,NA,NA,NA,NA,21.4,542135.0,64589.0,197221.0,9274.0,16684.0,32.0,212401.0,976.88,21.5
Alabama,Marion County,1093.0,30776.0,31214.0,5.6,21.7,18.3,50.3,93.6,3.8,0.3,0.2,NA,1.1,2.1,92.6,87.8,1.5,2.8,71.0,8.8,2534.0,23.7,14737.0,75.8,10.9,74700.0,12744.0,2.34,19030.0,32769.0,17.8,531.0,7378.0,-29.4,1933.0,2224.0,NA,NA,NA,NA,NA,NA,794483.0,162519.0,209924.0,7116.0,19081.0,7.0,266705.0,742.29,41.5
Alabama,Marshall County,1095.0,93019.0,82231.0,7.0,25.0,14.9,50.7,87.6,1.6,0.8,0.5,0.1,1.7,12.1,83.9,84.2,7.4,10.2,73.7,14.5,7612.0,24.4,40342.0,72.5,9.3,101300.0,34433.0,2.62,19875.0,37661.0,19.9,1886.0,29951.0,-8.3,6704.0,8700.0,NA,NA,0.9,NA,1.0,24.9,3029491.0,1138701.0,1357696.0,15434.0,103539.0,53.0,714306.0,565.84,164.4
Alabama,Mobile County,1097.0,412992.0,399843.0,6.8,25.1,12.9,52.0,60.2,34.6,0.9,1.8,0.0,1.5,2.4,59.1,85.7,3.2,4.8,82.3,19.8,35780.0,24.1,178196.0,68.4,17.7,120700.0,153302.0,2.61,21548.0,40996.0,19.2,9016.0,150599.0,-3.7,28736.0,34836.0,18.8,NA,2.4,NA,1.2,29.5,12407151.0,3268730.0,5225494.0,12895.0,562436.0,1026.0,4379855.0,1229.44,335.9
Alabama,Monroe County,1099.0,23068.0,24324.0,6.0,25.3,15.7,51.8,55.1,41.7,1.1,0.3,NA,1.4,1.0,54.7,91.3,1.3,2.3,75.4,11.2,1409.0,23.4,11333.0,73.8,6.0,80400.0,9191.0,2.51,17652.0,30235.0,25.4,401.0,6412.0,-23.4,1476.0,2257.0,23.6,NA,NA,NA,NA,24.5,1251911.0,92815.0,212618.0,9342.0,14796.0,1.0,200300.0,1025.68,22.5
Alabama,Montgomery County,1101.0,229363.0,223510.0,6.9,24.5,12.0,52.4,39.5,54.7,0.3,2.1,NA,1.3,3.6,38.4,79.6,3.9,5.4,84.7,30.5,20711.0,19.7,101641.0,63.2,22.4,121e3,88772.0,2.46,24622.0,43725.0,18.9,5762.0,104319.0,-9.5,17550.0,21463.0,35.6,0.7,2.4,NA,1.3,30.9,7956627.0,3275567.0,3238175.0,14351.0,402861.0,671.0,5085747.0,784.25,292.5
Alabama,Morgan County,1103.0,119490.0,111064.0,6.3,24.0,14.1,50.7,79.8,11.9,0.9,0.6,0.1,2.0,7.7,77.5,86.1,5.1,6.7,80.8,19.1,10210.0,22.9,51193.0,73.1,13.7,115300.0,46375.0,2.5,23090.0,44349.0,15.0,2718.0,43314.0,-7.2,7181.0,10034.0,5.9,1.8,1.0,NA,NA,21.3,NA,1213925.0,1637628.0,14222.0,154700.0,165.0,819697.0,579.34,206.3
Alabama,Perry County,1105.0,10591.0,11861.0,6.4,24.1,16.7,53.0,30.3,68.7,0.2,0.3,NA,0.4,1.1,29.7,87.3,0.1,0.9,71.5,13.3,591.0,29.1,4737.0,67.8,11.4,61e3,3828.0,2.55,13433.0,25950.0,28.8,126.0,1519.0,-28.9,685.0,854.0,55.7,NA,NA,NA,NA,41.3,0.0,10360.0,34121.0,3181.0,2632.0,0.0,130849.0,719.66,14.7
Alabama,Pickens County,1107.0,19746.0,20949.0,6.0,23.3,16.9,52.3,56.3,41.6,0.1,0.2,NA,1.2,1.6,55.8,93.2,0.5,1.5,78.7,11.5,1771.0,29.9,9483.0,74.1,10.1,81100.0,8008.0,2.46,16278.0,28280.0,26.9,286.0,2931.0,-9.8,1023.0,1268.0,NA,NA,NA,NA,NA,10.0,107619.0,36581.0,113222.0,5805.0,6302.0,4.0,214959.0,881.41,22.4
Alabama,Pike County,1109.0,32899.0,29605.0,5.6,20.3,12.8,52.3,58.2,36.6,0.6,2.0,NA,1.5,2.2,57.4,77.9,3.9,5.7,79.4,23.7,2341.0,19.5,15267.0,56.3,18.7,93900.0,13013.0,2.38,19013.0,29181.0,28.6,643.0,10775.0,8.4,1684.0,2527.0,NA,NA,NA,NA,NA,NA,NA,NA,367926.0,12189.0,45692.0,88.0,303446.0,672.09,48.9
Alabama,Randolph County,1111.0,22913.0,22380.0,6.0,23.9,17.0,51.5,76.5,20.1,0.4,0.2,NA,1.1,2.8,75.4,85.6,1.5,2.9,71.6,12.2,1778.0,26.9,11982.0,75.9,4.8,88100.0,8529.0,2.59,19844.0,34593.0,21.5,367.0,3610.0,-29.3,1327.0,1550.0,7.1,NA,NA,NA,NA,NA,401677.0,26751.0,161410.0,7209.0,9241.0,0.0,188182.0,580.55,39.5
Alabama,Russell County,1113.0,52947.0,49756.0,7.6,25.5,12.7,52.2,53.7,41.8,0.4,0.4,0.2,2.1,3.7,52.1,78.9,1.5,3.7,76.9,11.9,5360.0,22.3,24595.0,62.3,17.8,93300.0,20174.0,2.53,17415.0,32481.0,23.3,851.0,11030.0,-1.2,3609.0,3823.0,33.9,NA,NA,NA,1.0,32.4,NA,NA,428236.0,8526.0,56392.0,934.0,449151.0,641.14,82.6
Alabama,St. Clair County,1115.0,83593.0,64742.0,6.6,23.7,13.1,49.9,88.2,8.6,0.3,0.6,NA,1.3,2.1,87.3,85.7,1.9,2.8,79.3,14.5,7217.0,30.1,35541.0,82.2,5.5,126500.0,29574.0,2.64,22192.0,48837.0,10.6,1230.0,13181.0,5.4,5175.0,6061.0,2.4,1.0,1.4,NA,NA,28.1,985409.0,317458.0,581324.0,7404.0,70254.0,111.0,479715.0,631.9,132.3
