"user","ecletic","clusters_total","clusters","media_pop","mediana_pop","dp_pop","news","news_total","old","old_total","count_sim","tempo_sim","count_pop","tempo_pop"
"87KaMIL87",2529.3050469,87,42,4.79225617498,4.86205978641,0.880770336026,64,64,98,122,-0.030799835495345,-0.0194271632585547,0.0575396825396825,0.0343199493606601
"88marcus",490.535536486,31,10,5.61548443109,5.73281739238,0.61459731266,12,12,64,68,-0.0303030303030303,-0.290084787862418,-0.303030303030303,0.0152676204138115
"90degreeA",2681.71976141,120,58,5.50822981193,5.57328074673,0.562205002276,37,37,69,72,0.097670951683562,0.214505426335726,-0.151765632615996,-0.223569035899207
"a____________",1899.26701793,59,33,5.19232173532,5.20360142567,0.733747846416,62,62,227,261,0.262503316944125,0.241041643552892,-0.134355995177799,-0.0891488455027542
"A1Hellion",1087.09637118,42,19,5.50803470447,5.63376629964,0.703396204345,37,38,129,139,-0.0121032207021933,0.100304414707211,0.021021021021021,-0.0361994656093334
"a1phanumeric",3105.48446015,99,58,5.0706124404,5.15581107156,0.791060171788,72,76,147,226,0.119122339361763,0.0784213768634558,0.00901078222227515,0.0201954937909437
"a3df6c",720.22731854,33,13,5.69512090933,5.84808348985,0.677137744953,18,18,81,88,-0.0524592983576422,0.0592105263157895,0.26797385620915,0.170492719662337
"a3dmofo",1483.95146743,70,28,5.47621027624,5.6838155234,0.786720213743,34,35,118,123,0.064459016422956,0.144471458152257,0.039391621147362,0.202991542467095
"a7sean",2197.41324877,101,35,5.35691183854,5.45905001324,0.736089369842,32,33,67,77,0.00201816449873534,0.204663213781783,-0.159434995400092,-0.0952393173043941
"A7thWonder",1726.48529118,68,29,4.96918393846,5.10122794682,0.806139925238,25,25,79,92,0.090150376044714,0.160536014901756,-0.0968281816776558,-0.0735790068299716
"a911forpeace",1771.44485474,72,29,5.22914999603,5.23757008936,0.738307886843,32,33,81,91,0.121212368559315,0.160083107809513,0.0767678334208994,0.0182373160795648
"aacisseJ",787.520515472,42,14,5.64073834875,5.75810990173,0.600544350819,15,15,83,94,-0.0285714285714286,-0.180952380952381,-0.161904761904762,-0.161904761904762
"aadakaulitz",623.210322786,31,12,5.70329386791,5.73809950336,0.587810064824,11,11,61,68,0.2,0.381818181818182,0.309090909090909,0.127272727272727
"aahs",1962.48469812,89,37,5.54257091109,5.56879187742,0.568354734062,24,24,123,134,0.376811594202899,0.408770013731649,0.0289855072463768,0.0218983935927669
"aakashamin",1943.56442657,77,36,5.63362051214,5.66144188696,0.554814079674,64,64,128,141,0.0406746031746032,0.100447849013433,0.100198412698413,0.117354912708763
"Aakepaake",3152.66092107,142,67,5.58753489159,5.8485496156,0.771819920355,11,11,63,66,-0.236363636363636,-0.272727272727273,0.2,0.0909090909090909
"aalicen",1325.84235021,69,27,5.5378913859,5.65196768412,0.628843482554,22,22,85,88,0.199566630043301,0.152175351380629,-0.104121720022592,0.265219898120525
"aalinerabelo",1154.85295998,57,23,5.91012689117,6.02339157625,0.523673555809,39,39,68,78,-0.0985155195681512,-0.0501359155935845,0.211875843454791,0.391602151528268
"aamock",1095.14880497,67,23,5.6160248087,5.79891983839,0.727526003804,60,60,54,56,0.116780214234085,0.235363434786892,0.083262802325815,0.160752127472939
"aamoroz",1558.06125831,53,22,5.28523124915,5.24449483212,0.678649453524,24,24,60,61,-0.170599192030547,-0.00362977004320314,0.315789993758673,0.163339651944141
"aarion81",1277.00099818,71,26,5.49484952169,5.55827992314,0.588513345566,45,45,108,113,0.21010101010101,0.111562784156637,0.0282828282828283,0.0507103564348348
"AaronArnold",3910.53145947,206,78,5.14834137072,5.31842840553,0.885528470281,89,92,167,213,0.123993434989063,0.0786014080026532,0.080531818601144,0.0255132439090579
"aaronfrank",2152.91435239,97,42,5.50999071166,5.537593707,0.58111508509,56,56,117,125,-0.0214634248487472,0.0542314799458041,0.0754226905584934,-0.00914450810221576
"Aarong88",1087.80538431,34,19,5.97760175827,6.08811375298,0.427702088076,10,10,94,97,0.155555555555556,0.134839972492648,-0.0666666666666667,0.0898933149950989
"AaronHimself",1253.36263735,38,18,5.29913162899,5.33433108585,0.567859574071,10,10,96,104,0.155555555555556,0.111111111111111,-0.555555555555556,-0.688888888888889
"aaronjarred",1652.04845314,69,30,5.81363308701,5.91780159009,0.595907241868,41,42,124,134,0.0170731707317073,0.0564427799938105,-0.0902439024390244,-0.132517831289816
"aaronspud",1143.08334239,44,20,5.68869766532,5.84355230625,0.694563678094,18,18,120,126,0.23606684260939,0.171618096366172,-0.150326797385621,-0.256584500244042
"aaronysaiki",762.952158095,28,16,6.03796204496,6.10455300162,0.437646025335,38,38,130,134,-0.0868946750581561,-0.0242511686024976,0.0128205258282525,-0.0242511686024976
"Abaffiato",361.026701804,25,7,5.91128988869,6.12577128746,0.638591395,23,23,40,43,0.106719367588933,0.0595242781912362,0.41501976284585,0.297621390956181
"abaker009",554.663178751,15,9,5.50058832403,5.70007777842,0.622670486512,12,12,49,53,0.137408583724303,0.41222575117291,0.212121212121212,0.242424242424242
"aBAM",1567.06546363,76,32,5.68190106794,5.71032472719,0.49896631927,16,16,94,95,0.0333333333333333,-0.142260659488473,0.05,0.142260659488473
"abbaaa",2602.25378505,117,60,5.70909031393,5.79761371035,0.558479477855,19,19,97,101,0.263157894736842,0.281526137231115,0.309941520467836,0.164223580051484
"abbabes",2210.0826697,84,42,5.61494116163,5.80391354114,0.693537717914,30,32,73,128,-0.101500030932349,-0.129136803898489,-0.0230681888482611,-0.00704382566719033
"abbeypancake",772.229525852,39,14,5.65053965856,5.81298951853,0.653340687889,16,17,117,128,0.0666666666666667,0.125524111313358,0.05,0.0753144667880151
"abbi-mac",815.767976087,33,15,6.00808820923,6.08276778283,0.36773109007,15,15,74,77,0.24880667576406,0.0765559002350953,-0.114833850352643,-0.0191389750587738
"Abby_Colina",1380.90657415,78,26,5.78724354754,6.00778233247,0.648713045506,11,11,51,57,-0.272727272727273,-0.2,-0.490909090909091,-0.636363636363636
"abbysnergles",1648.15693094,73,29,5.72170141816,5.84350200339,0.645267434354,21,21,97,107,0.342857142857143,0.229667700705286,0.304761904761905,0.105264362823256
"Abby_Wayland",1196.24242315,54,21,5.67718694912,5.86863831109,0.671311826951,33,33,129,146,0.305794213500029,0.257220914293817,-0.0398862017608733,0.00767823624757664
"abcoal",692.650514093,36,14,5.87316304627,6.03777777578,0.59161114123,28,28,93,102,-0.175532535695048,-0.0533333333333333,-0.066225223652693,0.209829022527594
"abernau",4039.7344284,144,72,4.74323494042,4.66360630241,0.755477550108,12,12,102,108,0.0303030303030303,-0.153864363724166,0.333333333333333,0.492365963917331
"aberro",2586.6514758,112,51,5.68168346794,5.78730174737,0.602084347867,37,37,115,124,0.0210526553820649,0.0543816573808883,0.171428765253957,0.0815724860713324
"Abessiivi",1432.74873088,45,21,5.43358269002,5.50431166686,0.697060510825,34,34,76,90,0.317573721362658,0.305903888403028,-0.20855614973262,-0.243075046930608
"abigail095",1608.71998359,56,29,5.80816680443,5.90117923704,0.522272086819,21,21,150,153,-0.147971781808011,-0.12440333788203,0.186158048081046,0.181820263058351
"abiolaidowu",3107.48818881,122,56,5.1640950416,5.33559297137,0.892562331987,64,64,175,207,0.0880378042644249,0.137656288382853,0.246834061630244,0.271914508623575
"abject_hero",2798.04372807,109,47,5.10719303248,5.18733737603,0.761334634348,10,10,166,183,0.288888888888889,0.230021853114118,0.0222222222222222,0.184017482491294
"abomanation666",679.430105474,17,13,4.30326701845,4.27976779673,0.6420481458,121,121,211,220,-0.144201516696293,-0.216230127017585,0.393099531267982,0.349196070376706
"aBooster",1878.55572568,73,35,5.96272639469,6.05688914347,0.459917709411,33,33,142,155,0.142722832991738,0.0289914754401696,0.0970515264343819,0.106302076613955
"Aboshin",3685.17924996,187,76,5.54948496092,5.67466063924,0.670209314768,22,22,150,164,-0.00867681000188266,-0.0867681000188266,-0.203463203463203,-0.168831168831169
"aboveandbeyond2",2317.79547101,80,41,5.5696704899,5.72968304093,0.674935963561,62,63,221,291,0.0158856374301345,0.0532636938492916,0.445856890539108,0.210924227643195
"AboveJesus",2159.28598268,78,35,5.5671826374,5.73534952469,0.759533723428,19,19,92,98,-0.0351907671538893,-0.234605114359262,0.211144602923336,0.246335370077225
"abrader",3886.15798773,160,79,5.56200049158,5.65770381428,0.630158809366,52,53,104,108,0.0973217722956139,0.0936556959772974,0.0792153960545695,0.0800605143031735
"Abraxas0815",2021.32004682,64,30,5.66549622291,5.73506882379,0.585932624406,13,13,49,49,0,0.143818499101335,0.179487179487179,0.274562589193458
"Abraxas218",1706.71397966,62,27,4.77161466692,4.80093691857,0.757578454574,20,20,205,216,-0.0952394283487992,-0.21750739647707,-0.178947368421053,0.153034833491482
"abraxasmalfoy",811.51654895,32,15,5.39228699632,5.49628297336,0.729638654385,13,13,91,98,0.435897435897436,0.193552415284691,0.538461538461538,0.322587358807818
"abresaporta",625.364615519,42,13,5.8278113015,5.98908478574,0.576965910283,18,18,69,72,0.281045751633987,0.401324474740682,-0.0196078431372549,0.00657908974984724
"absolute-girl",2619.77090559,110,55,5.82286338666,5.95199129525,0.527902320482,25,25,83,91,0.304861470628628,0.381273035391671,0.117254411780241,0.0869570080717847
"Abyss460498333",1126.74233652,32,18,5.10887930524,5.17461214189,0.608181574672,43,43,139,146,0.090000055555607,0.0412026981529797,0.300443643617617,0.272223734580504
"abyssofnight",1324.73775513,56,28,5.76504293497,6.01576284174,0.69920093818,39,39,97,111,0.250338524190279,0.291694867305223,0.208249245178529,0.195681511470985
"acaseofyou713",1931.38471434,99,37,5.55572270469,5.69846158231,0.639609792383,83,83,78,88,0.071554819953666,0.0609428476885446,0.188374051097771,0.157490091835724
"accessrequired",2086.43346791,95,42,5.45499456441,5.56689570508,0.656811743434,25,25,64,66,-0.0372293593882327,0.199174118977164,0.118457052598922,0.17121985666458
"AceAzzameen",2350.27772131,104,45,5.51876408096,5.64821643111,0.71493135712,100,100,199,209,0.0356275420438125,0.0865422170474373,-0.0623104003321692,-0.0444630411691826
"acethegirl",1279.3397861,59,24,5.79717582706,5.91085429602,0.546694017334,23,24,67,72,0.134653729347831,-0.0950496913043515,0.0950496913043515,0.0396040380434798
"acfox",1114.80395955,31,15,5.22537995834,5.3688296462,0.587087128804,15,15,101,102,0.238095238095238,0.267945650822834,0.142857142857143,0.229667700705286
"Achajkaa",1983.71957571,92,38,5.67963518301,5.82101278586,0.60505118344,11,11,59,63,0.236363636363636,0.256891545196151,0.0181818181818182,-0.0733975843417574
"AChemicalFan",1273.82625876,51,22,5.40005476221,5.4101206575,0.688847282937,20,20,93,122,0,-0.0105263157894737,-0.115789473684211,-0.0210526315789474
"Achil",1047.08879364,46,19,5.82736116051,5.86579079296,0.471788162437,13,13,74,75,-0.153846153846154,-0.153846153846154,0.256410256410256,0.256410256410256
"achr",2577.22151134,86,38,5.31440589881,5.4102726528,0.789410445831,16,16,111,115,-0.0585779186129006,0.170965151237095,0.15,0.314964916380737
"AcidAmmo",984.750880262,33,17,5.93256890293,6.10078120727,0.474302250574,69,69,63,66,0.0790768142892088,0.098263588971965,-0.0299018195915814,-0.0445977162057997
"AcidBarret",1109.11173462,47,18,5.86161558937,6.01102588791,0.605410765287,146,146,97,104,0.15271810727966,0.0744820364476641,0.102649109983815,0.108469330807299
"AcideRomantique",2950.04541586,107,55,5.51072968801,5.7110332426,0.788849763373,14,14,72,74,-0.230769230769231,-0.243097632848325,0.120879120879121,0.419895911283471
"acid_orchid",1410.8119537,64,27,5.38211936503,5.45136211415,0.71283979057,58,58,65,73,0.096822999893482,0.0406308048014533,0.0121028749866852,-0.135233872697374
"acidpink",1923.53225721,70,32,5.61459257708,5.7075296806,0.722359280689,14,14,61,65,0.441995696087864,0.388888888888889,0.010989010989011,0.0883991392175728
"acidstorage",3886.00138156,151,77,5.60360116322,5.66545281627,0.556659426019,19,19,123,136,0.0938420457437049,0.211144602923336,0.269795881513152,0.0586512785898156
"Ackibear",3169.22695257,147,64,5.03110011443,5.08161730749,0.876179555122,41,41,210,247,-0.0561660980335164,-0.0600127987629318,0.0048840085246536,-0.0134722609467806
"ackoolness",1506.36549421,71,27,5.48442034483,5.58664047189,0.695661555629,30,30,52,63,0.239537474729802,0.282710280373832,0.230681888482611,0.393987468398589
"Ackrandy18",785.54252454,42,13,5.74886532789,5.98370460577,0.685998939055,23,23,94,104,-0.209486166007905,-0.160336418068674,0.0909090909090909,-0.0641345672274695
"AColdDayInHell",3574.60781228,121,65,4.65661554018,4.66943775942,0.736613864666,138,138,271,320,0.0929716006360793,0.0777752882244372,0.00127179488521798,-0.0546729470754209
"acollopy2",1700.28831268,79,34,5.8113289954,5.95700594527,0.630919209875,13,13,75,76,0.282051282051282,0.128205128205128,0.256410256410256,-0.0512820512820513
"acquaman7",1511.45485183,63,27,5.50491911326,5.69423918454,0.758320106891,37,38,69,90,0.103837501178354,0.251139242866185,0.0300752219743784,-0.092216797426944
"AcquireCurrency",1128.52646926,42,19,5.17521821524,5.20642836274,0.806866961615,22,22,89,95,0.204349757568273,0.273915632485132,-0.169566820109844,-0.24782842939131
"acraft",1124.55534873,58,26,5.51630996429,5.58191214809,0.590143429851,24,24,105,106,-0.16393687387049,-0.205140591723134,0.0692177911897626,0.0512851479307834
"acromusic",857.393682681,47,16,5.33748349401,5.41335509537,0.905680684047,39,40,75,78,0.0459770220035711,0.0447764903649533,0.00405405775571549,0.0216951595676655
"actiondatsun",2148.07446264,97,42,5.71590175418,6.00960258349,0.813159536278,22,23,80,94,0.116883116883117,-0.0913052108283774,0.0822510822510823,-0.0565222733699479
"Activator13",1251.39275917,51,21,5.82184773944,5.92473918781,0.56139848259,22,22,89,96,0.13015215002824,-0.184637236468999,0.0954449100207092,0.0791302442009996
"AcydoMoralez",578.293173199,39,12,5.90284045999,6.11368504986,0.655450725097,11,11,50,58,0.163636363636364,0.0185216946644159,0.127272727272727,-0.0185216946644159
"adaalbertojr",1007.95058495,43,23,5.98720213878,6.09577833187,0.474574881761,10,10,132,146,0.422222222222222,0.226778683805536,-0.377777777777778,-0.277173946873433
"adah88",442.754842216,29,9,5.99575373439,6.06327967879,0.439178117896,16,16,78,83,0.276153044889389,0.117651212954243,-0.0585779186129006,-0.117651212954243
"adaiaslopes",1441.31304695,54,30,5.81795877492,5.91976687955,0.52885683774,47,47,155,164,0.231374388493339,0.126969470654915,-0.0693802035152636,-0.103751837077295
"adam1095",786.920913788,22,12,5.60606821749,5.65305889649,0.70046626041,16,16,102,111,0.359835785764961,0.24267994853916,-0.276153044889389,-0.326362689414732
"adam704",1326.00201904,59,20,5.74976880382,5.83204179502,0.57441065407,56,56,87,89,0.126829435956798,0.15979622976173,0.04487810810779,0.250172785938446
"adam85k",659.192332506,37,14,5.09676640931,5.2532764283,0.858706040309,11,11,38,43,0.0545454545454545,0.0545454545454545,0.0181818181818182,0.236363636363636
"adam_albrecht",2510.03556703,92,49,5.88071431312,6.02285317735,0.54351434745,12,12,85,89,0.0152676204138115,-0.0465242105199235,0.351155269517664,0.35668561398608
"adamchellberg",1009.25671997,41,15,5.81758881443,6.02093112734,0.656179925627,71,72,112,131,-0.103838688966293,0.0949964489069448,0.036738181112804,0.121923054921424
"adamconyne",1207.50309117,52,21,5.54444342559,5.67364923559,0.696921894116,26,26,54,55,0.0739600261633639,0.0989191468376298,-0.265023427085387,-0.278210100480834
"AdamdangA",1487.54277124,55,22,5.71079867876,5.99862106822,0.701294907502,17,17,90,94,-0.0147058823529412,0.0441176470588235,-0.132352941176471,-0.191176470588235
"adamepyare",1516.86703502,65,31,5.82209355991,5.92559929108,0.555558703011,32,32,83,89,0.123357493714989,0.119554266022783,0.262096774193548,0.234343912548009
"adameq666",1123.20582646,44,21,5.15729065593,5.16425170694,0.891470197876,14,14,79,100,0.296703296703297,0.626373626373626,0.120879120879121,-0.032967032967033
"adamfaux225",1728.57498778,71,31,5.62019767767,5.78725780371,0.708293056561,33,33,37,39,0.18423560064702,0.0228137294412057,0.106262050888,0.0360875158788854
"adamnray",2315.55532937,110,54,5.65714415196,5.72744934604,0.580895945712,21,21,108,128,0.276190476190476,0.295238095238095,0.304761904761905,0.285714285714286
"adamohio",1271.57860908,48,22,5.27056324376,5.25402332001,0.687314460769,34,34,72,83,-0.0089126559714795,-0.116071613634736,0.0409982174688057,0.130357350697472
"AdamQuann",2184.89277596,104,46,5.31636695093,5.38758379162,0.664213170799,48,48,165,184,0.16762751093923,0.0729541986197591,-0.027494459466223,-0.126335319561046
"adams92",1707.94906567,49,24,5.32294125194,5.47157625677,0.783445079589,12,12,86,96,0.0909090909090909,0.137408583724303,-0.212121212121212,-0.351155269517664
"Adamsik",1435.05512718,67,26,5.67878076256,5.97422293195,0.77288369342,28,28,70,84,0.164895949766808,0.247671749743919,0.169312169312169,0.172185581497002
"adamtoremember",852.684684876,32,14,5.81787312721,5.94269387768,0.565021820483,12,12,48,53,-0.272727272727273,0.0606060606060606,-0.0909090909090909,0.121212121212121
"AdamWGolen",988.684580432,41,15,5.39085163121,5.33858582091,0.561194878355,24,24,156,162,-0.0471870105616408,-0.101818181818182,0.166666666666667,-0.0181488502160157
"Adanedhel",4014.34676407,170,67,5.34773449759,5.47266562541,0.81194394937,12,12,172,180,0.0606060606060606,-0.0606060606060606,0.424242424242424,0.424242424242424
"adc124",1239.65191394,42,21,5.82594281639,5.9278921269,0.589496420248,26,26,98,105,0.180409809085775,0.326470629766773,-0.018490006540841,0.0126840398441198
"Addinski16",1105.89690801,54,19,4.93822319308,4.99700610105,0.872677275672,15,15,106,148,0.333333333333333,0.333333333333333,-0.0666666666666667,0.00952380952380952
"AddisonMarieD",1584.06804304,88,30,5.5891915599,5.77646291029,0.694341353152,66,66,83,90,0.0284914089025152,-0.0244658614472525,0.0901449494784496,0.0301118294735415
"ADeadSilence",835.061406565,42,15,5.33568674999,5.38246502492,0.622416215692,10,10,57,57,0.0666666666666667,0.2,-0.2,-0.422222222222222
"AdekSonOfSatan",920.192453829,34,14,5.07956626621,5.1139251893,0.826608686329,25,25,68,75,0.103852742008219,0.087248813392747,-0.0936460086926912,-0.324962226933812
"adf___",964.615100316,45,18,5.9104961255,6.01177258711,0.381102766722,26,26,67,73,-0.0401236478992506,-0.117103374758659,0.280865535294754,0.221880078490092
"ADi305",1427.00148463,70,24,5.28560927667,5.43551627671,0.802850533308,17,17,30,37,0.00738012404616746,0.118518518518519,-0.147058823529412,0.0221403721385024
"adik303",944.67928046,55,20,5.59831090928,5.75122379019,0.731544908834,69,69,149,157,0.0494669509594883,0.0495303566052022,0.15305905272098,0.103735441297801
"adiknoepfel",3187.59179679,140,58,5.41596280142,5.67443421094,0.929999447708,24,24,81,95,0.0546456246234968,0.168508343201146,0.0837899577560284,0.117223195270362
"AdiLDZ",748.43772558,32,15,5.08152780782,5.01955659555,0.912146662337,30,31,145,198,0.105868884826494,-0.00461361321877449,0.00229885057471264,0.0714287610398815
"adimeadozen",1594.97354029,54,26,5.69590020131,5.78275410334,0.660050692433,20,21,61,70,0.0897100748053513,0.0105820105820106,0.168421052631579,0.0580476954622862
"adju",3152.40862562,127,60,5.67932077151,5.89207024924,0.716821145138,25,25,29,35,0.206666666666667,0.200670018627195,0.206666666666667,0.200670018627195
"adminoer",3342.02090417,147,63,5.53699685424,5.65358681079,0.742726665286,55,55,105,116,0.0862243228429669,0.135090120817792,0.0296396109772699,0.086457677323387
"admit_this",1590.36750201,58,25,5.27892570387,5.39264140663,0.773617057835,95,95,34,49,0.0952276170937089,0.0745504647209642,0.0240234230619133,0.0824057465145638
"admittingfear",1729.79048397,64,25,5.76267578638,5.88181440958,0.537547911203,23,23,95,99,-0.1699604743083,-0.118812114130439,0.0671936758893281,0.190099382608703
"adms87",2368.44520284,158,51,4.60061365423,4.55309378644,0.725941482992,38,39,65,83,-0.284697581007742,-0.282252961726846,-0.0911032259224775,-0.179615521098902
"Ad_Noctum",2049.31203648,71,33,4.65751006919,4.63955620802,0.804682973704,19,19,65,73,-0.0409356725146199,0.175953835769447,0.00584795321637427,-0.211144602923336
"ADobrini",1898.24649309,82,41,5.40976813306,5.4898722504,0.707765328954,12,12,100,104,-0.363636363636364,-0.393939393939394,0,0.0303030303030303
"adore_adorre",1918.39364227,90,37,5.43436829576,5.31510088674,0.777684589335,19,19,82,93,-0.239766081871345,-0.135296458436485,0.333333333333333,0.347064828163158
"adrenny",2429.79664959,98,51,5.68146369154,5.77404372845,0.559437203678,59,60,252,271,0.0556206088992974,0.0712193629824266,0.0912547879810563,0.208178035024054
"adriand88",1890.57944129,89,35,5.69570488126,5.79275541065,0.583292963886,51,51,106,115,0.11843137254902,0.257964013096686,0.127843137254902,0.229650889708026
"Adriano-D",1327.63093028,42,22,5.82081487474,5.91218376676,0.596679691475,59,59,107,117,0.0620064372822229,0.1169916434655,0.185380148657735,0.190423185541449
"Adriano_Meis",3379.40177877,135,62,5.38307614549,5.38432652756,0.644436530753,23,24,299,314,-0.114624505928854,-0.119286415873132,0.0988142292490119,-0.0397621386243772
"adrianpw",677.466292927,34,12,5.81844695231,5.96632883604,0.583058827809,12,12,48,52,-0.320620028690041,-0.0606060606060606,0.198479065379549,0.0606060606060606
"adrigispen",1684.50052977,90,34,5.6176674117,5.7110332426,0.55401361016,47,47,85,93,0.0417053543130505,0.0111681894574625,0.178869630720417,0.297818385532334
"adrisha",1440.45046087,67,22,5.50943393736,5.55792231541,0.656009731981,29,29,98,108,0.189889170247903,0.182266009852217,0.258939777610777,0.364532019704434
"adskajapanda",3864.58188273,204,82,4.85147610921,4.8862821637,0.909711766322,28,28,50,69,0.214569724634725,0.209827542267966,0.201058201058201,0.084880935210564
"Adthey",2796.73587434,118,58,5.32786555859,5.38241806228,0.697598467634,36,36,186,197,-0.0953896277050255,-0.229667700705286,0.0445151595956786,0.114833850352643
"ADTlolololol",692.961712252,38,11,5.00483376216,4.90253780352,0.919530899253,49,50,107,182,0.117647058823529,0.145051247339542,-0.0621541588204846,-0.0809545935920096
"a-d-t-r",897.284623776,33,14,5.79106551723,5.85794438411,0.503731397447,21,21,91,97,-0.0047732832841294,-0.100238948966717,-0.262530580627117,-0.100238948966717
"adykins",1436.08741267,60,27,5.70164334992,5.92757308914,0.726903737137,11,11,48,50,-0.2,-0.309090909090909,-0.127272727272727,-0.163636363636364
