numero,data,nome,cnpj_ou_cpf,licitacao,num_licitacao,modalidade_licitacao,órgão,unidade_orçamentaria,funcao_orcamentaria,subfuncao_orcamentaria,programa,acao,natureza_despesa,fonte_do_recurso,valor_empenhado,valor_liquidado,valor_pago,valor_anulado,valor_saldo
18,2016-01-27,Prefeitura Municipal de Campina Grande,08.993.917/0001-46,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2048 - Recursos FUNDEB 60%,319011,18 - Transferência do FUNDEB (magistério),5499637.43,5499637.43,5499637.43,NA,0.0
19,2016-01-27,Prefeitura Municipal de Campina Grande,08.993.917/0001-46,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2048 - Recursos FUNDEB 60%,319016,18 - Transferência do FUNDEB (magistério),239.72,239.72,239.72,NA,0.0
20,2016-01-27,Prefeitura Municipal de Campina Grande,08.993.917/0001-46,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2049 - Recursos FUNDEB Outras despesas,319011,19 - Transferência do FUNDEB (outras),311828.15,311828.15,311828.15,NA,0.0
21,2016-01-27,Prefeitura Municipal de Campina Grande,08.993.917/0001-46,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2049 - Recursos FUNDEB Outras despesas,319016,19 - Transferência do FUNDEB (outras),6692.44,6692.44,6692.44,NA,0.0
22,2016-01-27,IPSEM-INSTITUTO DE PREVIDÊNCIA DO SERVIDOR MUNICIPAL,41.134.826/0001-20,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2049 - Recursos FUNDEB Outras despesas,319113,19 - Transferência do FUNDEB (outras),57256.87,57256.87,57256.87,NA,0.0
23,2016-01-27,IPSEM-INSTITUTO DE PREVIDÊNCIA DO SERVIDOR MUNICIPAL,41.134.826/0001-20,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2048 - Recursos FUNDEB 60%,319113,18 - Transferência do FUNDEB (magistério),996357.73,996357.73,996357.73,NA,0.0
24,2016-01-27,ANDRADE GALVÃO ENGENHARIA LTDA,13.558.309/0001-43,SIM,000042007,3-Concorrência,2 - Prefeitura Municipal de Campina Grande,2080 - Secretaria de Obras,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,1021 - Urbanização e saneamento de áreas,449051,52 - Transferência de Convênios  Outros  Federal,140715.41,140715.41,140715.41,NA,0.0
25,2016-01-27,ANDRADE GALVÃO ENGENHARIA LTDA,13.558.309/0001-43,SIM,000042007,3-Concorrência,2 - Prefeitura Municipal de Campina Grande,2080 - Secretaria de Obras,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,1021 - Urbanização e saneamento de áreas,449051,0 - Recursos Ordinários,60998.19,60998.19,60998.19,NA,0.0
26,2016-01-27,ANDRADE GALVÃO ENGENHARIA LTDA,13.558.309/0001-43,SIM,000042007,3-Concorrência,2 - Prefeitura Municipal de Campina Grande,2080 - Secretaria de Obras,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,1021 - Urbanização e saneamento de áreas,449051,52 - Transferência de Convênios  Outros  Federal,160548.71,160548.71,160548.71,NA,0.0
27,2016-01-27,ANDRADE GALVÃO ENGENHARIA LTDA,13.558.309/0001-43,SIM,000042007,3-Concorrência,2 - Prefeitura Municipal de Campina Grande,2080 - Secretaria de Obras,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,1021 - Urbanização e saneamento de áreas,449051,0 - Recursos Ordinários,69595.66,69595.66,69595.66,NA,0.0
28,2016-01-27,ANDRADE GALVÃO ENGENHARIA LTDA,13.558.309/0001-43,SIM,000042007,3-Concorrência,2 - Prefeitura Municipal de Campina Grande,2080 - Secretaria de Obras,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,1021 - Urbanização e saneamento de áreas,449051,52 - Transferência de Convênios  Outros  Federal,33706.18,33706.18,33706.18,NA,0.0
29,2016-01-27,ANDRADE GALVÃO ENGENHARIA LTDA,13.558.309/0001-43,SIM,000042007,3-Concorrência,2 - Prefeitura Municipal de Campina Grande,2080 - Secretaria de Obras,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,1021 - Urbanização e saneamento de áreas,449051,0 - Recursos Ordinários,14611.17,14611.17,14611.17,NA,0.0
30,2016-01-27,BANCO DO BRASIL S/A,00.000.000/0063-94,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2026 - Programa Formação Patrimônio Servidor Público PASEP,339047,0 - Recursos Ordinários,380.91,380.91,380.91,NA,0.0
31,2016-01-27,BANCO DO BRASIL S/A,00.000.000/0063-94,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,28 - Encargos Especiais,846 - Outros Encargos Especiais,1 - Operações Especiais,2 - Amortização e encargos da dívida pública,329021,0 - Recursos Ordinários,248.59,248.59,248.59,NA,0.0
32,2016-01-28,AUTO CENTER PEÇAS E SERVIÇOS LTDA - EPP,09.358.430/0001-54,SIM,206222015,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1015 - Infraestrutura da rede municipal de educação,2045 - Ações de melhoria na frota veicular das unidades,339030,0 - Recursos Ordinários,92e3,92e3,92e3,NA,0.0
33,2016-01-25,CAIXA ECONOMICA FEDERAL - CEF,00.360.305/0001-04,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2024 - Encargos gerais,339039,0 - Recursos Ordinários,2085.0,2085.0,2085.0,NA,0.0
34,2016-01-27,TELEMAR NORTE LESTE S/A,33.000.118/0001-79,SIM,203132013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339039,0 - Recursos Ordinários,14057.98,14057.98,14057.98,NA,0.0
35,2016-01-28,FELIPE RANIER CAVALCANTI SILVA - ME,17.633.219/0001-20,SIM,206092015,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339039,15 - Transferência de Recursos do FNDE,25279.3,25279.3,25279.3,NA,0.0
36,2016-01-28,AUTO CENTER PEÇAS E SERVIÇOS LTDA - EPP,09.358.430/0001-54,SIM,206442015,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1015 - Infraestrutura da rede municipal de educação,2045 - Ações de melhoria na frota veicular das unidades,339030,0 - Recursos Ordinários,87696.0,87696.0,87696.0,NA,0.0
37,2016-01-28,CLARO S/A,40.432.544/0001-47,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2030 - Ações administrativas da SAD,339039,0 - Recursos Ordinários,2582.22,2582.22,2582.22,NA,0.0
38,2016-01-28,AUTO CENTER PEÇAS E SERVIÇOS LTDA - EPP,09.358.430/0001-54,SIM,206442015,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1015 - Infraestrutura da rede municipal de educação,2045 - Ações de melhoria na frota veicular das unidades,339039,0 - Recursos Ordinários,37584.0,37584.0,37584.0,NA,0.0
39,2016-01-29,BANCO DO BRASIL S/A,00.000.000/0063-94,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339039,15 - Transferência de Recursos do FNDE,39.25,39.25,39.25,NA,0.0
40,2016-01-29,BANCO DO BRASIL S/A,00.000.000/0063-94,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339039,0 - Recursos Ordinários,47.1,47.1,47.1,NA,0.0
41,2016-01-29,BANCO BRADESCO S/A,60.746.948/3853-16,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2020 - Secretaria de Finanças,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2024 - Encargos gerais,339039,0 - Recursos Ordinários,4654.0,4654.0,4654.0,NA,0.0
42,2016-01-28,COPY LINE COMÉRCIO E SERVIÇOS LTDA.,02.914.690/0001-10,SIM,214022014,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2139 - Ações administrativas da SESUMA,339039,0 - Recursos Ordinários,550.0,550.0,550.0,NA,0.0
43,2016-01-28,José Antônio da Silva Locações de ônibus ME,17.525.366/0001-87,SIM,214102015,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,18 - Gestão Ambiental,452 - Serviços Urbanos,1031 - Limpeza Urbana e Manejo de Resíduos Sólidos,"2134 - Coleta, transporte e destino final de resíduos sólidos urbanos",339039,0 - Recursos Ordinários,4300.0,4300.0,4300.0,NA,0.0
44,2016-01-28,ECOSOLO GESTÃO AMBIENTAL DE RESÍDUOS LTDA - EPP,11.955.108/0001-54,SIM,214062015,9-Dispensa por Outros Motivos,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,18 - Gestão Ambiental,452 - Serviços Urbanos,1031 - Limpeza Urbana e Manejo de Resíduos Sólidos,2136 - Serviços de operacionalização do aterro sanitário,339039,0 - Recursos Ordinários,525484.73,525484.73,525484.73,NA,0.0
45,2016-01-28,LIGHT - Engenharia e Comércio Ltda.,24.222.762/0001-09,SIM,214022013,3-Concorrência,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,18 - Gestão Ambiental,452 - Serviços Urbanos,1031 - Limpeza Urbana e Manejo de Resíduos Sólidos,"2134 - Coleta, transporte e destino final de resíduos sólidos urbanos",339039,0 - Recursos Ordinários,234814.5,234814.5,234814.5,NA,0.0
46,2016-01-28,LIGHT - Engenharia e Comércio Ltda.,24.222.762/0001-09,SIM,214012013,3-Concorrência,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,18 - Gestão Ambiental,452 - Serviços Urbanos,1031 - Limpeza Urbana e Manejo de Resíduos Sólidos,"2134 - Coleta, transporte e destino final de resíduos sólidos urbanos",339039,0 - Recursos Ordinários,951807.08,951807.08,951807.08,NA,0.0
47,2016-01-28,POLIMAX COMÉRCIO E SERVIÇOS LTDA - EPP.,06.954.256/0001-14,SIM,214612014,12-Pregão Presencial,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,18 - Gestão Ambiental,452 - Serviços Urbanos,1031 - Limpeza Urbana e Manejo de Resíduos Sólidos,"2134 - Coleta, transporte e destino final de resíduos sólidos urbanos",339030,0 - Recursos Ordinários,22290.0,22290.0,22290.0,NA,0.0
49,2016-01-28,VLADIMIR CARVALHO DE ALMEIDA,***.819.234-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2139 - Ações administrativas da SESUMA,339036,0 - Recursos Ordinários,1500.0,1500.0,1500.0,NA,0.0
50,2016-01-28,ERIKA ALMEIDA COLLINS,***.607.204-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2139 - Ações administrativas da SESUMA,339036,0 - Recursos Ordinários,1500.0,1500.0,1500.0,NA,0.0
51,2016-01-28,EMANUEL CARVALHO DE ALMEIDA,***.866.044-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2139 - Ações administrativas da SESUMA,339036,0 - Recursos Ordinários,1500.0,1500.0,1500.0,NA,0.0
52,2016-01-28,FABIANA CARVALHO ALMEIDA DE MEDEIROS,***.623.764-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2140 - Secretaria de Serviços Urbanos e Meio Ambiente,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2139 - Ações administrativas da SESUMA,339036,0 - Recursos Ordinários,1500.0,1500.0,1500.0,NA,0.0
53,2016-01-29,VISÃO NACIONAL PARA CONSCIÊNCIA CRISTÃ - VINAC,04.625.922/0001-45,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2070 - Secretaria de Desenvolvimento Econômico,23 - Comércio e Serviços,695 - Turismo,1002 - Turismo em Campina Grande,"2082 - Promoção, divulgação e apoio a eventos turísticos",335041,0 - Recursos Ordinários,16e4,16e4,16e4,NA,0.0
54,2016-01-29,ORGANIZAÇÃO NOVA CONSCIÊNCIA,06.149.717/0001-86,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2070 - Secretaria de Desenvolvimento Econômico,23 - Comércio e Serviços,695 - Turismo,1002 - Turismo em Campina Grande,"2082 - Promoção, divulgação e apoio a eventos turísticos",335041,0 - Recursos Ordinários,1e5,1e5,1e5,NA,0.0
55,2016-01-29,ASSOCIAÇÃO CARISMÁTICA CATÓLICA SÃO PIO X,02.868.732/0001-23,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2070 - Secretaria de Desenvolvimento Econômico,23 - Comércio e Serviços,695 - Turismo,1002 - Turismo em Campina Grande,"2082 - Promoção, divulgação e apoio a eventos turísticos",335041,0 - Recursos Ordinários,65e3,65e3,65e3,NA,0.0
56,2016-01-29,ASSOCIAÇÃO CULTURAL BLOCO JACARÉ DO AÇUDE VELHO,21.388.382/0001-42,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2070 - Secretaria de Desenvolvimento Econômico,23 - Comércio e Serviços,695 - Turismo,1002 - Turismo em Campina Grande,"2082 - Promoção, divulgação e apoio a eventos turísticos",335041,0 - Recursos Ordinários,5e3,5e3,5e3,NA,0.0
57,2016-01-29,Prefeitura Municipal de Campina Grande,08.993.917/0001-46,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,319004,0 - Recursos Ordinários,1414e4,13609596.06,13609596.06,NA,0.0
58,2016-01-29,Prefeitura Municipal de Campina Grande,08.993.917/0001-46,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,366 - Educação de Jovens e Adultos,1016 - Gestão de sistemas e gestão escolar,2062 - Ações Programa Nacional inclusão jovens (Projovem Urbano),319004,50 - Transferência de Convênios  Educação  Federal,4e5,396100.34,396100.34,NA,0.0
59,2016-02-01,TICKET SERVIÇOS S/A,47.866.934/0001-74,SIM,203142013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2030 - Secretaria de Administração,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2029 - Ações da central de abastecimento e serviços,339039,0 - Recursos Ordinários,250350.86,250350.86,0.0,NA,250350.86
60,2016-02-02,JET PRINT INFORMATICA LTDA,05.301.712/0001-64,SIM,260022013,13-Adesão a Registro de Preço,2 - Prefeitura Municipal de Campina Grande,2060 - Secretaria de Educação,12 - Educação,361 - Ensino Fundamental,1016 - Gestão de sistemas e gestão escolar,2050 - Melhoria das condições oferta expansão das ações da rede municipal,339030,0 - Recursos Ordinários,24822.0,24822.0,24822.0,NA,0.0
61,2016-02-01,TRIBUNAL DE JUSTIÇA DO ESTADO DA PARAIBA-,09.283.185/0001-63,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2040 - Procuradoria Geral do Município,4 - Administração,122 - Administração Geral,2001 - Apoio Administrativo,2031 - Ações administrativas da Procuradoria Geral,339092,0 - Recursos Ordinários,2585.87,2585.87,2585.87,NA,0.0
62,2016-02-02,ASSOCIAÇÃO CAMPINENSE DAS ESCOLAS DE SAMBA E TROÇAS CARNAVALESCAS - ACESTC,04.866.591/0001-35,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2070 - Secretaria de Desenvolvimento Econômico,23 - Comércio e Serviços,695 - Turismo,1002 - Turismo em Campina Grande,"2082 - Promoção, divulgação e apoio a eventos turísticos",335041,0 - Recursos Ordinários,73e3,73e3,73e3,NA,0.0
63,2016-02-02,ASSOCIAÇÃO VIDA NOVA DOS REMIDOS NO SENHOR,24.510.588/0001-91,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2070 - Secretaria de Desenvolvimento Econômico,23 - Comércio e Serviços,695 - Turismo,1002 - Turismo em Campina Grande,"2082 - Promoção, divulgação e apoio a eventos turísticos",335041,0 - Recursos Ordinários,8e3,8e3,8e3,NA,0.0
64,2016-02-02,INSTITUIÇÃO ADVENTISTA NORDESTE BRASILEIRA DE EDUCAÇÃO E ASSISTENCIA SOCIAL,07.114.699/0001-60,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2070 - Secretaria de Desenvolvimento Econômico,23 - Comércio e Serviços,695 - Turismo,1002 - Turismo em Campina Grande,"2082 - Promoção, divulgação e apoio a eventos turísticos",335041,0 - Recursos Ordinários,12e3,12e3,12e3,NA,0.0
65,2016-02-02,ASSOCIAÇÃO OBRA NOVA,00.303.751/0001-87,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2070 - Secretaria de Desenvolvimento Econômico,23 - Comércio e Serviços,695 - Turismo,1002 - Turismo em Campina Grande,"2082 - Promoção, divulgação e apoio a eventos turísticos",335041,0 - Recursos Ordinários,1e4,1e4,1e4,NA,0.0
66,2016-02-02,ASSOCIAÇÃO SHALOM,07.044.456/0041-90,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2070 - Secretaria de Desenvolvimento Econômico,23 - Comércio e Serviços,695 - Turismo,1002 - Turismo em Campina Grande,"2082 - Promoção, divulgação e apoio a eventos turísticos",335041,0 - Recursos Ordinários,7e3,7e3,7e3,NA,0.0
67,2016-01-28,JOÃO RIBEIRO,***.585.704-**,NÃO,,0-Sem Licitação,2 - Prefeitura Municipal de Campina Grande,2080 - Secretaria de Obras,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,1021 - Urbanização e saneamento de áreas,449061,0 - Recursos Ordinários,95e3,95e3,95e3,NA,0.0
68,2016-02-03,Lançar Construtora E Incorporadora Ltda,03.834.750/0001-57,SIM,080012015,9-Dispensa por Outros Motivos,2 - Prefeitura Municipal de Campina Grande,2080 - Secretaria de Obras,15 - Urbanismo,451 - Infra-Estrutura Urbana,1029 - Infraestrutura Urbana - PROINFRA,2087 - Ações de eficientização energética,339039,0 - Recursos Ordinários,373517.15,373517.15,373517.15,NA,0.0
