"","NR_CONVENIO","ANO_CONVENIO","TX_SUBSITUACAO","NM_ORGAO_SUPERIOR","NM_MUNICIPIO_PROPONENTE","NM_PROGRAMA","DT_INICIO_VIGENCIA","DT_FIM_VIGENCIA","VL_GLOBAL","VL_REPASSE","TX_OBJETO_CONVENIO","IN_ADITIVO_SN","QT_ADITIVOS","cod7","funcao.imputada","TX_STATUS"
"11",787770,2013,"Convênio","Ministerio do Turismo","SAO SEBASTIAO DE LAGOA DE ROCA","Programa de Apoio a Projetos de Infraestrutura Turística - Contrato de Repasse - Programação - Proposta Voluntária","17/12/2013","31/12/2015",510205,5e+05,"Construção do Centro de Cultura em são Sebastião de Lagoa de Roça-pb",0,NA,2515104,"Comércio e Serviços","Concluída, segundo a prefeitura"
"12",806713,2014,"Convênio","Ministerio do Esporte","JUNCO DO SERIDO","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","29/07/2014","31/12/2015",298500,292500,"Construção de (um) Campo de Futebol.",0,NA,2507804,"Desporto e Lazer","Concluída, segundo a prefeitura"
"13",792090,2013,"Em Aditivação","Ministerio do Desenvolvimento Agrario","VIEIROPOLIS","Apoio ao Desenvolvimento Sustentável de Territórios Rurais - no Estado da Paraíba","27/11/2013","26/12/2015",200450,195000,"Aquisição de Patrulha Mecanizada.",1,3,2517209,"Organização Agrária","Concluída, segundo a prefeitura"
"14",792099,2013,"Convênio","Ministerio do Desenvolvimento Agrario","CACIMBA DE DENTRO","Aquisição de Máquinas e Equipamentos Para Recuperação de Estradas Vicinais Para Municípios com até 50.000 Habitantes -  no Estado da Paraíba","31/12/2013","31/12/2015",408164,4e+05,"Aquisição de Trator de Esteira",1,2,2503506,"Organização Agrária","Concluída, segundo a prefeitura"
"15",784873,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","CAMPO DE SANTANA","Paraiba - ogu 2013","18/12/2013","31/05/2015",378062,370500,"Aquisição de Patrulha Mecanizada Para o Município de Tacima (campo de Santana)-pb",1,2,2516409,"Agricultura","Concluída, segundo a prefeitura"
"16",796499,2013,"Convênio","Ministerio da Saude","SOSSEGO","2068 - Saneamento Básico (7652 - Melhorias Sanitárias Domiciliares - Msd)","31/12/2013","31/12/2015",512000,5e+05,"Implantação de Melhorias Sanitárias Domiciliares",1,1,2516151,"Saúde","Concluída, segundo a prefeitura"
"17",788908,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","PAULISTA","Paraiba - ogu 2013","21/11/2013","30/04/2015",252500,243750,"Aquisição de Patrulha Mecanizada.",1,2,2510907,"Agricultura","Concluída, segundo a prefeitura"
"18",786545,2013,"Em Aditivação","Ministerio do Turismo","MALTA","Programa de Apoio a Projetos de Infraestrutura Turística - Contrato de Repasse - Programação - Proposta Voluntária","12/11/2013","31/12/2015",520840,5e+05,"Pavimentação Asfáltica e Drenagem Pluvial nas Ruas: Avelino Marques de Sousa, Coronel José Fernandes e Antônio Alves de Lima no Município de Malta-pb",1,2,2508802,"Comércio e Serviços","Concluída, segundo a prefeitura"
"19",795607,2013,"Em Aditivação","Ministerio do Esporte","CATURITE","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","18/12/2013","31/12/2015",309415.07,292500,"Estruturação de Quadra Poliesportiva.",1,1,2504355,"Desporto e Lazer","Concluída, segundo a prefeitura"
"20",782577,2013,"Convênio","Ministerio das Cidades","JERICO","Planejamento Urbano","14/06/2013","31/05/2016",690900,690900,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Jerico-pb",1,1,2507408,"Urbanismo","Concluída, segundo a prefeitura"
"21",792420,2013,"Em Aditivação","Ministério da Agricultura,pecuaria e Abastecimento","BARRA DE SANTA ROSA","Paraiba - ogu 2013","23/12/2013","31/03/2016",149250,145500,"Aquisição de Patrulha Mecanizada",1,3,2501609,"Agricultura","Concluída, segundo a prefeitura"
"22",803514,2014,"Em Aditivação","Ministerio das Cidades","GURINHEM","2054 - Planejamento Urbano","29/07/2014","31/12/2015",250000,245850,"Pavimentação e Drenagem de Vias Urbanas, no Município de Gurinhém - pb",0,NA,2506400,"Urbanismo","Concluída, segundo a prefeitura"
"23",798792,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","CUITE","ogu 2013","31/12/2013","31/12/2015",718000,702000,"Construção de Matadouro Público em Cuité ¿ pb",0,NA,2505105,"Agricultura","Concluída, segundo a prefeitura"
"24",786089,2013,"Convênio","Ministerio do Turismo","ALAGOA NOVA","Programa de Apoio a Projetos de Infraestrutura Tur?stica - Contrato de Repasse - Emendas","07/11/2013","31/12/2015",1044642.86,1023750,"Reforma e Ampliação do Centro de Comercialização de Produtores Artesanais.",0,NA,2500403,"Comércio e Serviços","Concluída, segundo a prefeitura"
"25",787267,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","SERRA GRANDE","Paraiba - ogu 2013","11/11/2013","30/12/2015",167500,156000,"Aquisição de Patrulha Mecanizada.",1,4,2515708,"Agricultura","Concluída, segundo a prefeitura"
"26",788909,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","PIANCO","Paraiba - ogu 2013","05/11/2013","30/07/2015",250000,243750,"Aquisição de Patrulha Mecanizada.",1,2,2511301,"Agricultura","Concluída, segundo a prefeitura"
"27",792102,2013,"Convênio","Ministerio do Desenvolvimento Agrario","JUAZEIRINHO","Aquisição de Máquinas e Equipamentos Para Recuperação de Estradas Vicinais Para Municípios com até 50.000 Habitantes -  no Estado da Paraíba","04/04/2014","28/02/2016",180000,150000,"Aquisição de Patrulha Mecanizada",1,3,2507705,"Organização Agrária","Concluída, segundo a prefeitura"
"28",799038,2013,"Em Aditivação","Ministério da Agricultura,pecuaria e Abastecimento","VISTA SERRANA","ogu 2013","31/12/2013","31/12/2015",126420,114075,"Aquisição de Patrulha Mecanizada Para Atender aos Pequenos e Medios Produtores Rurais do Municipio de Vista Serrana-pb.",1,2,2505501,"Agricultura","Concluída, segundo a prefeitura"
"29",796498,2013,"Convênio","Ministerio da Saude","SAO JOSE DE PRINCESA","2068 - Saneamento Básico (7652 - Melhorias Sanitárias Domiciliares - Msd)","31/12/2013","31/12/2015",510500,5e+05,"Implantação de Melhorias Sanitárias Domiciliares",1,1,2514552,"Saúde","Concluída, segundo a prefeitura"
"30",788829,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","UMBUZEIRO","Paraiba - ogu 2013","23/12/2013","19/09/2015",646684,633750,"Construção de um Abatedouro Público no Município de Umbuzeiro - pb",1,1,2517001,"Agricultura","Concluída, segundo a prefeitura"
"31",790460,2013,"Convênio","Ministerio do Esporte","SAO SEBASTIAO DE LAGOA DE ROCA","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","17/12/2013","30/12/2015",398000,390000,"Reforma e Ampliação do Estádio Municipal de são Sebastião de Lagoa de Roça - pb - 2ª Etapa.",0,NA,2515104,"Desporto e Lazer","Concluída, segundo a prefeitura"
"32",796154,2013,"Convênio","Ministerio do Esporte","BOA VISTA","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","18/12/2013","31/12/2015",397959.19,390000,"Implantação de Infraestrutura Esportiva.",0,NA,2502151,"Desporto e Lazer","Concluída, segundo a prefeitura"
"33",804117,2014,"Em Aditivação","Ministerio das Cidades","SAO JOAO DO TIGRE","2054 - Planejamento Urbano","31/12/2014","31/12/2015",265896,265630,"Pavimentação e Drenagem de Diversas Ruas do Município de são João do Tigre - pb",0,NA,2514107,"Urbanismo","Concluída, segundo a prefeitura"
"34",799600,2013,"Convênio","Presidencia da República","CAMPINA GRANDE","2016 - 8843 - Incentivo á Autonomia Econômica e ao Empreendedorismo das Mulheres","31/12/2013","05/06/2016",366142.67,348266.67,"Capacitar e Profissionalizar Mulheres em Situação de Vulnerabilidade Social e Econômica no Município de Campina Grande/pb, Possibilitando sua Autonomia Financeira e Contribuindo Para a Redução dos Índices de Mulheres em Situação de Violência.",1,1,2504009,"Direitos da Cidadania","Concluída, segundo a prefeitura"
"35",782534,2013,"Em Aditivação","Ministerio das Cidades","CATOLE DO ROCHA","Planejamento Urbano","11/06/2013","30/05/2016",728996.6,710680,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Catolé do Rocha - pb.",1,2,2504306,"Urbanismo","Concluída, segundo a prefeitura"
"36",816288,2015,"Em Aditivação","Ministerio das Cidades","CAMPINA GRANDE","Planejamento Urbano","01/06/2015","23/03/2016",2148478.26,1976600,"Implantação de Pavimentação na Cidade de Campina Grande - pb.",0,NA,2504009,"Urbanismo","Concluída, segundo a prefeitura"
"37",784621,2013,"Convênio","Ministerio do Turismo","SAO SEBASTIAO DE LAGOA DE ROCA","Programa de Apoio a Projetos de Infraestrutura Tur?stica - Contrato de Repasse - Emendas","17/12/2013","30/06/2015",248750,243750,"Apoio a Projetos de Infraestrutura Turistica- Reforma e Modernização do Mercado Público Municipal de são Sebastião de Lagoa de Roça - pb",0,NA,2515104,"Comércio e Serviços","Concluída, segundo a prefeitura"
"38",799178,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","BARRA DE SANTA ROSA","ogu 2013","31/12/2013","31/12/2015",209750,204750,"Aquisição de Patrulha Mecanizada em Barra de Santa Rosa - pb.",1,1,2501609,"Agricultura","Concluída, segundo a prefeitura"
"39",798987,2013,"Convênio","Ministerio das Cidades","SAO SEBASTIAO DE LAGOA DE ROCA","2054 - Planejamento Urbano","31/12/2013","31/12/2015",6e+05,6e+05,"Pavimentação de Vias em são Sebastião de Lagoa de Roça - pb",0,NA,2515104,"Urbanismo","Concluída, segundo a prefeitura"
"40",787039,2013,"Convênio","Ministerio das Cidades","ITATUBA","2054 - Planejamento Urbano","23/12/2013","31/05/2016",506911.2,5e+05,"Pavimentação de Diversas Ruas no Município de Itatuba - pb.",1,1,2507200,"Urbanismo","Concluída, segundo a prefeitura"
"41",792040,2013,"Convênio","Ministerio do Desenvolvimento Agrario","BELEM DO BREJO DO CRUZ","Apoio ao Desenvolvimento Sustentável de Territórios Rurais - no Estado da Paraíba","18/12/2013","31/12/2014",204081.9,2e+05,"Aquisição de Máquinas e Equipamentos Para o Município de Belém do Brejo do Cruz/pb",0,NA,2502003,"Organização Agrária","Concluída, segundo a prefeitura"
"42",782576,2013,"Convênio","Ministerio das Cidades","ALAGOINHA","Planejamento Urbano","13/09/2013","27/12/2015",690900,690900,"Pavimentação em Diversas Ruas no Municipio de Alagoinha - pb",1,2,2500502,"Urbanismo","Concluída, segundo a prefeitura"
"43",785339,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","BOM SUCESSO","Paraiba - ogu 2013","24/10/2013","30/06/2015",303300,292500,"Aquisição de Patrulha Mecanizada.",1,2,2502300,"Agricultura","Concluída, segundo a prefeitura"
"44",787609,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","LAGOA SECA","Paraiba - ogu 2013","23/12/2013","27/02/2015",447705,438750,"Aquisição de Patrulha Mecanizada",1,2,2508307,"Agricultura","Concluída, segundo a prefeitura"
"45",783905,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","SAO JOAO DO RIO DO PEIXE","Paraiba - ogu 2013","20/12/2013","30/10/2015",298500,292500,"Aquisição de Patrulha Mecanizada.",1,3,2500700,"Agricultura","Concluída, segundo a prefeitura"
"46",788817,2013,"Em Ajustes pelo Concedente","Ministério da Agricultura,pecuaria e Abastecimento","CATURITE","Paraiba - ogu 2013","04/11/2013","31/12/2015",181500,175500,"Aquisição de Patrulha Mecanizada.",1,1,2504355,"Agricultura","Concluída, segundo a prefeitura"
"47",782588,2013,"Convênio","Ministerio das Cidades","SAPE","Planejamento Urbano","11/09/2013","31/05/2016",530583.06,493100,"Pavimentação e Drenagem em Diversas Ruas, nos Bairros Renê Baunilha, José Feliciano e Augusto dos Anjos, no Município de Sapé.",1,3,2515302,"Urbanismo","Concluída, segundo a prefeitura"
"48",782517,2013,"Em Aditivação","Ministerio das Cidades","SAO BENTO","Planejamento Urbano","17/06/2013","30/05/2016",690900,690900,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de são Bento - pb.",1,1,2513901,"Urbanismo","Concluída, segundo a prefeitura"
"49",787905,2013,"Convênio","Ministerio da Saude","SAO JOSE DO SABUGI","2068 - Saneamento Básico (10gd - Sistema de Abastecimento de Água)","31/12/2013","31/12/2015",306500,3e+05,"Implantação do Sistema de Abastecimento de Água no Município de são José do Sabugy.",1,1,2514701,"Saúde","Concluída, segundo a prefeitura"
"50",795609,2013,"Convênio","Ministerio do Esporte","PILAR","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","31/12/2013","31/12/2015",650000,637000,"Construção de Arquibancada e Ampliação do Vestiário e Melhoria da Iluminação no Estádio João Lins Vieira - o Vieirão.",1,2,2511509,"Desporto e Lazer","Concluída, segundo a prefeitura"
"51",782570,2013,"Em Aditivação","Ministerio das Cidades","BARRA DE SANTANA","Planejamento Urbano","23/12/2013","30/12/2015",592000,592000,"Elaboração de Projeto Executivo e Pavimentação de Diversas Ruas",1,1,2501575,"Urbanismo","Concluída, segundo a prefeitura"
"52",815872,2014,"Convênio","Ministerio da Saude","POMBAL","Urgencia e Emergencia / Porta de Entrada Hospitalar / po 0000 / Acao 2015.8933 - Servicos de Atencao as Urgencias e Emergencias na Rede Hospitalar / Contrato de Repasse / Emenda Parlamentar","31/12/2014","18/06/2016",3e+05,3e+05,"Ampliação de Unidade de Atenção Especializada em Saúde",1,1,2512101,"Saúde","Concluída, segundo a prefeitura"
"53",782538,2013,"Convênio","Ministerio das Cidades","SAO JOAO DO RIO DO PEIXE","Planejamento Urbano","17/06/2013","30/05/2016",493100,493100,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de são João do rio do Peixe - pb.",1,1,2500700,"Urbanismo","Concluída, segundo a prefeitura"
"54",797601,2013,"Convênio","Ministerio da Saude","CAMPINA GRANDE","2067 - Resíduos Sólidos (20am - Coleta e Reciclagem de Materiais)","31/12/2013","31/12/2015",1506704,1506704,"Aquisição de Equipamentos Para as Unidades de Recuperação de Recicláveis.",0,NA,2504009,"Saúde","Concluída, segundo a prefeitura"
"55",793577,2013,"Convênio","Ministerio do Desenv. Social e Combate a Fome","ARARA","Estrutura¿¿o da Rede de Servi¿os da Prote¿¿o Social B¿sica ? Constru¿¿o de Cras (portaria n¿ 127/2013)","16/12/2013","31/12/2015",369250,350000,"Estruturação da Rede de Serviços de Proteção Social Básica ¿ Construção de Centro de Referência de Assistência Social - Cras",1,1,2500908,"Assistência Social","Concluída, segundo a prefeitura"
"56",791847,2013,"Em Aditivação","Ministério da Agricultura,pecuaria e Abastecimento","SANTA INES","Paraiba - ogu 2013","30/12/2013","31/12/2015",150000,146250,"Aquisição de Patrulha Mecanizada.",1,1,2513356,"Agricultura","Concluída, segundo a prefeitura"
"57",800643,2013,"Convênio","Ministerio do Turismo","PITIMBU","Programa de Apoio a Projetos de Infraestrutura Tur?stica - Contrato de Repasse - Emendas","31/12/2013","31/12/2015",253950,243750,"Apoio a Projetos de Infraestrutura Turística - Construção de Praça na Sede do Município.",0,NA,2511905,"Comércio e Serviços","Concluída, segundo a prefeitura"
"58",806115,2014,"Convênio","Ministerio do Turismo","PILOES","Apoio a Projetos de Infraestrutura Tur?stica - Contrato de Repasse - Emendas Parlamentares","02/09/2014","31/12/2015",250000,243750,"Pavimentação e Drenagem do Acesso a Cachoeira de Ouricurí, no Município de Pilões - pb",0,NA,2511608,"Comércio e Serviços","Concluída, segundo a prefeitura"
"59",788810,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","CARAUBAS","Paraiba - ogu 2013","13/11/2013","23/04/2016",252000,243750,"Aquisição de Patrulha Mecanizada.",1,4,2504074,"Agricultura","Concluída, segundo a prefeitura"
"60",796497,2013,"Convênio","Ministerio da Saude","SAO JOSE DE CAIANA","2068 - Saneamento Básico (7652 - Melhorias Sanitárias Domiciliares - Msd)","31/12/2013","31/12/2015",5e+05,489795,"Implantação de Melhorias Sanitárias Domiciliares",1,1,2514305,"Saúde","Concluída, segundo a prefeitura"
"61",784876,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","BOQUEIRAO","Paraiba - ogu 2013","19/08/2013","01/03/2015",380000,370500,"Aquisição de Patrulha Mecanizada.",1,2,2502508,"Agricultura","Concluída, segundo a prefeitura"
"62",805091,2014,"Em Aditivação","Ministerio do Esporte","BOQUEIRAO","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","22/07/2014","31/03/2016",250000,243750,"Reforma do Estádio de Futebol e da Quadra de Esportes do Bairro Novo",0,NA,2502508,"Desporto e Lazer","Concluída, segundo a prefeitura"
"63",799143,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","CONDE","ogu 2013","31/12/2013","30/04/2016",149250,142593.75,"Aquisição de Patrulha Mecanizada",1,2,2504603,"Agricultura","Concluída, segundo a prefeitura"
"64",785338,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","MASSARANDUBA","Paraiba - ogu 2013","22/11/2013","30/06/2015",150700,146250,"Aquisição de Patrulha Mecanizada.",1,1,2509206,"Agricultura","Concluída, segundo a prefeitura"
"65",791866,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","BANANEIRAS","Paraiba - ogu 2013","25/11/2013","31/12/2015",298470,292500,"Adequação do Mercado Público Municipal de Bananeiras - pb",1,1,2501500,"Agricultura","Concluída, segundo a prefeitura"
"66",782578,2013,"Convênio","Ministerio das Cidades","JERICO","Planejamento Urbano","14/06/2013","31/05/2016",690900,690900,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Jericó-pb",1,1,2507408,"Urbanismo","Concluída, segundo a prefeitura"
"67",798977,2013,"Em Aditivação","Ministério da Agricultura,pecuaria e Abastecimento","SAO JOAO DO CARIRI","ogu 2013","31/12/2013","30/05/2016",149250,142593.75,"Aquisição de Patrulha Mecanizada no Município de são João do Cariri/pb.",1,3,2514008,"Agricultura","Concluída, segundo a prefeitura"
"68",790074,2013,"Em Aditivação","Ministerio das Cidades","SOUSA","2054 - Planejamento Urbano","30/12/2013","30/05/2016",740350,740350,"Pavimentação",1,1,2516201,"Urbanismo","Concluída, segundo a prefeitura"
"69",789804,2013,"Convênio","Ministerio do Esporte","PITIMBU","Esporte e Grandes Eventos Esportivos - Implantacao e Modernizacao de Infraestrutura Para Esporte Educacional, Recreativo e de Lazer - ( Contrato de Repasse )","26/12/2013","31/12/2014",397959.18,390000,"Reestruturação de Campo de Futebol na Sede do Município. (1° Fase)",0,NA,2511905,"Desporto e Lazer","Concluída, segundo a prefeitura"
"70",809682,2014,"Convênio","Ministerio das Cidades","MASSARANDUBA","2054 - Planejamento Urbano","31/12/2014","31/12/2015",642100,641450,"Pavimentação e Drenagem em Diversas Ruas do Município de Massaranduba - pb",0,NA,2509206,"Urbanismo","Concluída, segundo a prefeitura"
"71",797829,2013,"Em Aditivação","Ministério da Agricultura,pecuaria e Abastecimento","CATURITE","Paraiba - ogu 2013","31/12/2013","30/12/2015",258800,243750,"Aquisição de Patrulha Mecanizada",1,1,2504355,"Agricultura","Concluída, segundo a prefeitura"
"72",788890,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","MONTE HOREBE","Paraiba - ogu 2013","09/12/2013","30/12/2015",150775,146250,"Aquisição de Patrulha Mecanizada.",1,1,2509602,"Agricultura","Concluída, segundo a prefeitura"
"73",782525,2013,"Convênio","Ministerio das Cidades","SAO BENTO","Planejamento Urbano","17/06/2013","30/05/2016",694301.02,690900,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de são Bento - pb.",1,2,2513901,"Urbanismo","Concluída, segundo a prefeitura"
"74",805307,2014,"Em Aditivação","Ministerio do Turismo","GURINHEM","Apoio a Projetos de Infraestrutura Tur?stica - Contrato de Repasse - Emendas Parlamentares","29/07/2014","31/12/2015",250000,243750,"Revitalização da Praça Central, no Município de Gurinhém - pb",0,NA,2506400,"Comércio e Serviços","Concluída, segundo a prefeitura"
"75",782528,2013,"Em Aditivação","Ministerio das Cidades","RIACHO DOS CAVALOS","Planejamento Urbano","17/06/2013","30/05/2016",690900,690900,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Riacho dos Cavalos - pb.",1,1,2512804,"Urbanismo","Concluída, segundo a prefeitura"
"76",789754,2013,"Convênio","Ministerio das Cidades","JURU","2054 - Planejamento Urbano","31/12/2013","31/12/2015",690900,690900,"Pavimentação no Município de Juru - pb.",0,NA,2508000,"Urbanismo","Concluída, segundo a prefeitura"
"77",782527,2013,"Em Aditivação","Ministerio das Cidades","MALTA","Planejamento Urbano","28/10/2013","31/05/2016",316720.82,295300,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de Malta - pb.",1,2,2508802,"Urbanismo","Concluída, segundo a prefeitura"
"78",788700,2013,"Convênio","Ministerio da Ciencia, Tecnologia e Inovacao","ESPERANCA","Apoio a Projetos de Inclus?o Digital","31/12/2013","18/06/2016",306123,3e+05,"Apoio a Espaços Públicos de Inclusão Digital no Município de Esperança - pb",0,NA,2506004,"Ciência e Tecnologia","Concluída, segundo a prefeitura"
"79",809718,2014,"Convênio","Ministerio das Cidades","PILOES","2054 - Planejamento Urbano","02/09/2014","31/12/2015",483800,483210,"Pavimentação e Drenagem de Vias Urbanas na Cidade de Pilões - pb",0,NA,2511608,"Urbanismo","Concluída, segundo a prefeitura"
"80",782526,2013,"Em Aditivação","Ministerio das Cidades","SAO BENTO","Planejamento Urbano","17/06/2013","30/05/2016",297277.05,295300,"Implantação de Pavimentação em Vias Públicas Urbanas no Município de são Bento - pb.",1,2,2513901,"Urbanismo","Concluída, segundo a prefeitura"
"81",784086,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","POCINHOS","Paraiba - ogu 2013","26/12/2013","31/03/2015",348215,341250,"Aquisição de uma Patrulha Mecanizada Para o Município de Pocinhos ¿ pb.",1,1,2512002,"Agricultura","Concluída, segundo a prefeitura"
"82",785161,2013,"Convênio","Ministerio do Turismo","PASSAGEM","Programa de Apoio a Projetos de Infraestrutura Turística - Contrato de Repasse - Programação - Proposta Voluntária","31/12/2013","31/12/2015",4e+05,390000,"Construção de Praça de Eventos no Município de Passagem - pb.",0,NA,2510709,"Comércio e Serviços","Concluída, segundo a prefeitura"
"83",782557,2013,"Em Aditivação","Ministerio das Cidades","ITAPORANGA","Planejamento Urbano","17/06/2013","01/06/2016",407940.85,394200,"Pavimentação e Drenagem em Diversas Ruas no Conjunto João Silvino, no Município de Itaporanga - pb.",1,3,2507002,"Urbanismo","Concluída, segundo a prefeitura"
"84",788893,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","AMPARO","Paraiba - ogu 2013","23/12/2013","31/12/2015",150775,146250,"Aquisição de Patrulha Mecanizada com Implementos Para o Município de Amparo/pb",1,1,2500734,"Agricultura","Concluída, segundo a prefeitura"
"85",784878,2013,"Convênio","Ministério da Agricultura,pecuaria e Abastecimento","SAO SEBASTIAO DE LAGOA DE ROCA","Paraiba - ogu 2013","13/09/2013","30/06/2015",198980,195000,"Aquisição de Patrulha Mecanizada",1,1,2515104,"Agricultura","Concluída, segundo a prefeitura"
"86",796494,2013,"Convênio","Ministerio da Saude","CURRAL DE CIMA","2068 - Saneamento Básico (7652 - Melhorias Sanitárias Domiciliares - Msd)","31/12/2013","31/12/2015",5e+05,489795,"Implantação de Melhorias Sanitárias Domiciliares",0,NA,2505279,"Saúde","Concluída, segundo a prefeitura"
